word,J-SUM,RJ-SUM,C-SUM,RC-SUM,LNC1-SUM,LNC2-SUM,RLNC2-SUM,None
toll,1.5288589549029616,0.2871499453368093,10.89007294178009,4.325047820806503,11.796716401659907,11.796716401659907,8.21454668495158,
compete,1.9393273961787583,0.8577037360953673,11.577885746955872,5.648466695100069,13.407033793449205,13.407033793449205,11.26628211214027,
solicit,2.0667111315359157,0.5676748035014192,11.245756387710571,6.332802966237068,13.563596700582465,13.563596700582465,10.599729137907785,
radius,2.9852016237648114,1.264187815776194,11.751877963542938,7.094742134213448,13.973940182525698,13.973940182525698,10.306539298392483,
coy,1.1997849617566965,0.14285714285714285,8.593545824289322,7.0269414484500885,13.02128942702521,13.02128942702521,9.940693273699809,
port,3.381325250932978,1.9621418837295859,13.54423576593399,8.812634915113449,14.413161720329487,14.413161720329487,11.439901401479062,
correspond,3.1955606494046664,1.14182428164921,12.065710961818695,7.146610543131828,14.389019565855419,14.389019565855419,11.522712101750374,
upwards,1.8015671966878588,0.38072321127032377,11.780472338199615,4.608636462828144,13.452470846525207,13.452470846525207,10.789119565889559,
real,1.6030288377029673,0.3571119044179856,11.580538213253021,6.539792947471142,13.003513938309231,13.003513938309231,10.288961647521358,
voyage,3.5815636090660723,3.3163565692181067,13.071246206760406,7.767850533127785,14.160245271406257,14.160245271406257,8.658032702210802,
active,2.647918133001996,0.8134164271504036,11.950674176216125,5.0552226305007935,13.623765298710696,13.623765298710696,10.570020007768983,
bust,1.1142996023317187,0.7467773565056536,8.700343251228333,4.0730751026421785,9.517248700985055,9.517248700985055,7.564395998772016,
ostrich,2.7220625344062093,1.3204277460791456,12.773929476737976,8.85402575135231,14.451646193333572,14.451646193333572,11.645796974807045,
nullify,2.852687815821044,1.6255752364018519,11.664896726608276,10.380231976509094,14.197475620552924,14.197475620552924,10.685395704336365,
summit,3.0636564591227096,1.336136018099078,10.370605826377869,6.886658517178148,12.145528800645302,12.145528800645302,8.720707522930347,
unity,1.8020713326854716,0.7110851927774244,12.014043092727661,6.608678534626961,14.15847295094607,14.15847295094607,11.636008270410372,
