word,LNC1F-SUM,LNC1F-MIN,LNC1F-MAX,LNC2F-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2F-SUM,RLNC2F-MIN,RLNC2F-MAX,None
conversion,13.650689676278887,0.8241535554425754,0.9754016955947797,13.261407737750908,0.7588276547065751,0.9754016955947797,6.366269741967525,0.21707877652013474,0.6866321971604752,
closet,13.862047792637286,0.8431273423677867,0.9858802487725404,13.427109058720262,0.7532262819117198,0.9858802487725404,5.5585071618925,0.035618107816685285,0.6324785194165032,
route,13.530320658240704,0.7979796348983007,0.9758145733485656,12.567754491520548,0.6194843985858989,0.963599992782713,5.252088572268266,0.125527913899385,0.671726898736187,
inspection,12.901017331450973,0.7519119543488963,0.9596786099544475,11.804936059910686,0.6183452141565541,0.9257316412065395,5.56736296492754,0.11441937538737301,0.6452049131371816,
recipe,12.596743538671983,0.5321722607769637,0.9711440063526365,12.33059349447786,0.5717216973863365,0.9637294647256744,6.651745511458466,0.23842088570914788,0.6940103838074205,
mattress,14.112974378554686,0.8788811166599234,0.9948254551777966,13.707752354267132,0.8387144165468079,0.9948254551777966,6.583572508310107,0.21424040263267496,0.7126206699190452,
bar,11.829416518815627,0.5338538574379426,0.9454596136712968,11.107599192217522,0.47446277551684035,0.9034492607298038,5.073740825485234,0.1280181259218145,0.5576846592194948,
powerless,13.28106039517425,0.6218656105036108,0.9818144735510433,13.23765549660285,0.6132071417270268,0.9818144735510433,5.305519643967778,-0.03438504917860419,0.6858626900866776,
ethic,13.976124509643789,0.8503067086808119,0.9885599655196754,13.523171169962772,0.7894823173250995,0.9778789584992948,5.843235396653271,0.18090837294755013,0.5717814387860263,
smooth,14.26271010934861,0.8906218497965792,0.9851376340814708,14.148927441768572,0.8720744890293495,0.9850380594326917,6.938488122403189,0.22499551719047284,0.6965410148174963,
intersperse,12.807102887850274,0.6998263424074932,0.9538964818777773,12.497715920325824,0.6384495849074361,0.9538964818777773,7.531273711321716,0.21432640472062114,0.6644502551234053,
damp,14.262844564808672,0.8588200026623736,0.9959195914115138,14.119457347605014,0.8220662412034496,0.9959195914115138,6.989629027267435,0.01481621121046206,0.7496813978190697,
bachelor,12.646500534551192,0.6539222758371817,0.9345962863310552,12.17161541576382,0.6257677158724998,0.9279394283651452,6.081652136608426,0.16175430455017636,0.5774842477903073,
blot,12.683687549781396,0.6737260468293195,0.9695366386550683,12.5264614237799,0.6214519017353843,0.9695366386550683,5.104196331944936,-0.06007561704025188,0.6341933815879949,
shuffle,12.143979912817993,0.6336215358314009,0.9876099893598895,11.719316245117804,0.551825854106417,0.9876099893598895,4.868790914626546,0.07533848892209005,0.551150872099681,
artisan,13.424149353089485,0.7478426632038375,0.9799962913498133,12.878765599158564,0.6489298131981943,0.9673819218451635,5.724096351402371,0.05931160263036872,0.6118940657635309,
caravan,13.450356965025843,0.8194972902437947,0.958374363268942,12.48075426545254,0.7530108420439601,0.8992480822904279,6.728391535355068,0.15110834171977938,0.6695606611123794,
shot,12.398719868791764,0.6600515383475019,0.9898078275382145,11.539724971729774,0.5887278186171436,0.9759927995266418,5.767544009062692,0.1575478696023349,0.6583337214184876,
suit,12.239575030001653,0.6104598506610298,0.9770588730601303,11.159701179319521,0.4817407546861405,0.9770588730601303,4.731265012134195,0.009959862010823328,0.6683762896218872,
absentee,11.370330441404224,0.43303293719023794,0.9053470616989594,10.618121709074037,0.42328754217615616,0.8568983294777271,5.505694328263178,0.12623673499685317,0.6580294913823235,
desire,13.909926143669992,0.8445487259654894,0.9800307562001722,13.650377702110532,0.7970050752751353,0.9800307562001722,6.389053530299979,0.20159661502325354,0.7077352882123317,
assist,12.874825564632443,0.6733728373982467,0.9646217883355086,11.984381650499829,0.5627864657675101,0.945841505026143,5.049066335771066,-0.007019158511980539,0.6558243666677839,
add,11.321366618343799,0.49592692022897533,0.8934165563542729,10.966788802696856,0.47166087716895344,0.8934165563542729,3.9707845066645016,0.018232006168898418,0.5450982655057381,
incidental,13.1942380345173,0.7046004407737037,0.9604373215071598,12.968195531018127,0.6487627515105108,0.9604373215071598,5.9682572822093976,0.05208400187841489,0.6729009779330043,
intersect,13.988007825942816,0.8775503224534075,0.9766262917383456,13.76783841831806,0.8522153890091421,0.9658234194263734,6.5577229454756,0.1489743057201628,0.7325879714475475,
wooded,14.257941567805329,0.8655833961415846,0.99217346179838,14.02928436600273,0.8353337058274157,0.99217346179838,8.851425487129012,0.4075727895508504,0.8358760811461733,
festive,13.871929801906147,0.8101128682205495,0.9878254660112633,13.597292338651528,0.7735085882266348,0.9806694746470378,6.540172634554786,0.2687444851044224,0.6072169246560011,
sail,14.135577994761945,0.8923264346285149,0.9930958612302776,13.763650349738237,0.8346110944904044,0.9930958612302776,5.854455860306921,0.09692766006376075,0.6827967142711955,
administration,13.524118302858222,0.7872189438044717,0.977691323615049,12.549723420693658,0.6874009165896878,0.9736945699017266,5.329328867342586,0.1347767779097908,0.6170533158314281,
dizzy,13.550821831842173,0.7626951028591876,0.9770631243624122,13.27559386555978,0.7170754070586104,0.9770631243624122,6.191939956945523,0.027799889064021643,0.7269834504501982,
attribute,14.1912465921489,0.8633055053843601,0.9899588881759246,13.881167688114378,0.7777698091494739,0.9899588881759246,8.261208260585414,0.4208151959775188,0.7788809611679082,
disable,11.909271974911986,0.4824079677057298,0.9718747969161732,11.081059147651645,0.3314873592069888,0.9718747969161732,4.997692941544323,0.07112379719937956,0.5827834669183112,
anguish,14.527881317552115,0.9166719780566406,0.9969378547448259,14.479231580848515,0.912145162680654,0.9969378547448259,5.420283183304364,0.0891957270577014,0.655966838637797,
machinery,13.581156031774265,0.8216412420111124,0.9784909060281899,12.927139686917533,0.7195294790382646,0.9784909060281899,4.144647771918623,-0.009334371901524419,0.6000748942956255,
tenement,13.455183745139012,0.8293555206071271,0.9704451393693695,12.637330055502243,0.7019793136468638,0.9704451393693695,5.634351268384167,0.1815063537279471,0.6350304959566455,
soothe,13.749375647003626,0.8210555387898134,0.972497201202516,13.647311592029302,0.7700240924457026,0.972497201202516,5.501234826556331,0.06590438989627356,0.5637210557451224,
smell,14.147687488829133,0.8522270649695478,0.9934010532261429,13.901427263214698,0.8107414294887432,0.9934010532261429,6.636753381241925,0.2841546593570563,0.6227687195539963,
pork,14.382884291914118,0.8807040557085758,0.9918394400752754,14.021828021328414,0.8571683263280028,0.9878148511166073,7.421263752430826,0.2977556859098114,0.7077127382450651,
collection,13.160771272157298,0.7138941577475261,0.9703667752428786,12.504735112673794,0.6177360150081092,0.9703667752428786,5.436562410635688,0.10720474494914589,0.5218646438182266,
haunt,14.146261910133669,0.8377344601723052,0.9874157255777803,14.001714136108637,0.829412596200884,0.9765890638265332,4.605876985524239,-0.24321390847094126,0.5408281684869927,
prescribe,12.985706763030777,0.5753348022633581,0.9912406465990803,11.529627310300581,0.3852019924051121,0.990114644056794,6.228685126120172,0.13902563024456793,0.6751163559280007,
epitome,12.060715653626659,0.465798506191315,0.9587290253630236,11.885530155435907,0.4605319988076796,0.9587290253630236,6.962800971239522,0.2809235364339575,0.7837554033169422,
intelligence,11.164908974659554,0.4787456613697776,0.9801598089354918,9.943429133156496,0.33113074384287766,0.9801598089354918,5.160319121255698,0.028966686870211977,0.5704417359215439,
hopeless,14.07685689512237,0.84264273800102,0.992300418416846,14.028066497286456,0.8237034094988019,0.992300418416846,5.72943823357733,0.11393312824710311,0.6080118305550388,
