word,sum,min,max
equip,206.78840377335564,17.83815994920584,55.64428774834373
remnant,149.04532393275798,18.263384737266765,37.46396914052238
lunatic,76.30113106527043,8.350402760236916,22.149048603597247
knife,787.4756721710739,123.22810575076879,141.7143383753383
debate,625.953476093171,69.97374849164257,151.16563377805636
dresser,93.09182744177515,4.513731221749684,29.842735740796822
manufacture,586.4017502405101,36.87819934808312,184.49876368901838
tournament,158.37106751316287,4.199400154708875,74.14296263063252
wheel,967.225749251439,130.7853621501971,190.80795805255582
mosque,51.141571253439466,3.7162833227512166,19.096258362634238
room,7944.427226142016,742.3959426972793,1572.5603270748625
attorney,702.4267519863831,48.40976735326537,196.95314489707212
obscene,44.334362658402554,2.476946849261684,17.575150448848067
implicate,45.911121024852136,4.773099174801493,9.741411148550258
cracker,84.37987783425234,4.852261063380911,19.946699018460052
rattlesnake,43.286028277381504,4.9651043439246525,8.290119619392067
abstraction,100.32955494103823,7.344714754859321,25.953954525060688
intuitive,44.74226088056863,4.776968923576105,9.402196806560578
grass,935.0501512812306,102.57454201426158,183.2940668453646
merriment,81.60133748768709,2.3966963936909362,27.533760452673075
scene,2714.2756567807405,308.0141429827319,807.9578886931936
grievous,55.626789583674665,2.087445246117912,19.74757409515487
caste,88.23946181102959,5.334582295634665,20.58820960804174
refrain,163.7926826547956,13.916301640786083,35.97470423927684
frill,27.567333449708535,3.0845151578835095,6.030397377673969
cannon,250.8529229610011,24.04427672380262,64.70049264909868
occupant,131.40792597025487,12.44735868981422,33.11208440571334
audacity,62.82678704923974,4.133907464584621,18.321276781163498
jackass,20.485615925027812,1.4743731245605263,4.948018361168385
clean,1208.2086633257122,71.76832642581999,309.56039872059705
earthquake,142.58239630747622,16.052686172095548,31.439756910475293
dream,2243.54877420465,282.4167417006231,431.4604937714163
beget,48.69667737111488,2.8605731150504723,15.346686153948928
brink,113.58578406724178,11.364979673308634,28.88787981919798
substantive,27.92903537030498,2.3884844617880523,9.37986021203996
weakness,500.3630471455773,40.125336397599874,127.5129070144286
banker,298.6901866408712,28.68304393739798,90.13620967993558
clog,56.26080317405419,6.657753552080785,15.30793180486469
snarl,113.78912624837693,6.986612646772287,28.58835189960052
considerate,66.33472475493615,3.7883265577695444,18.20978828148096
folk,925.4177025670188,120.96799674289154,215.11103887338078
entertainment,306.00351168052094,39.16453480797646,79.01366820490765
conveyance,59.116256833108075,1.6922428217597865,25.389738122341974
benefit,1194.1705298144338,148.35142379328016,265.29455255833767
compatible,46.966859637680045,4.717993998593684,11.483076290512837
deceased,106.40455018647083,7.542568005557905,37.2382825794349
frenzied,30.379997166788776,3.2471370495167524,6.456244673284125
particular,1807.2381278168732,201.32249707003865,531.9432244832003
ominous,118.60621322132516,14.766742296611898,22.031620927899525
inter,107.97075337272534,10.359913443696307,27.809583086869754
fruit,1069.0215567476628,109.24636159332107,280.5050652012618
frenzy,113.58366131620652,16.390310821370274,22.90718595037965
soreness,11.944712877059363,1.4448856620693156,2.9339252941372953
embody,171.67639846647955,15.462557378651205,41.65953604804113
malicious,75.98383587001014,6.185022951460481,19.521887534067385
seeker,65.85203001927658,6.319223710449559,16.689903770025158
luxuriant,68.44773576836532,2.1647580330111684,26.066797805604427
tenant,203.48814859600228,17.47268983787586,41.18779739846587
unarmed,51.044929893805985,6.8035252466065295,13.089820543074087
wanton,74.10844287837823,3.7883265577695444,33.175924479860186
shield,347.7958634057188,39.74233102387349,73.6866621950636
stiffness,39.041230195580475,4.351481541668022,11.44229246020189
rejoice,356.77154745043305,8.581719345151418,140.48988427695895
pitcher,193.85830068045357,10.494425090568019,57.75265180926225
generation,939.5688290487711,102.12316889208662,196.297165921977
domestic,799.1547459429572,81.25573902481207,236.29382945859598
sauce,252.73736931516942,12.089859621396315,109.8614701753168
spirit,3696.3414098288727,171.47976132924182,1383.0072463441034
fortunate,322.6027927020168,24.89471737962844,90.2746244349937
qualification,190.01041797970623,9.664098361657,61.04821477416448
perishable,24.810391174742605,2.5513219674774485,5.1750443684689875
unavoidable,64.07717614513342,6.494274099033505,18.506298009173705
holiday,356.32109608787755,22.230126267117196,103.05794492871027
borrow,449.41205386121993,55.66520656314433,84.63246040780659
decisive,177.46386406121385,12.60198426360073,40.69330238412582
existing,16.722288822027686,1.8087533715037236,4.626574502293426
compare,1002.5728174293426,158.49511089025657,184.6116069695621
acquisition,198.35449223596297,18.288506311870986,55.06752090534615
brick,433.0758580266579,43.78319285097194,93.23922099326676
pungent,41.46708152039446,4.175201380118458,9.277534427190721
impervious,29.01981184448278,3.95131997382221,6.206380429905817
allegory,29.253207331739517,2.713130057255585,7.899029638061948
infernal,87.49124913895358,3.0460370791676157,31.934648393879016
unemployed,86.54285665308817,5.388610817989265,33.71315311886107
scribble,62.57693355867618,4.571028486983996,18.477756067488187
corrode,17.54869509174135,1.3564232745956841,4.175201380118458
aspire,140.39275992375056,10.12399456550001,42.88044660662201
loathsome,47.13391720349356,2.2420708199044244,18.16776816754248
magistrate,239.08027967901506,11.05572852573561,97.2709078287057
explorer,90.65618743450331,2.9339252941372953,27.6006649208924
adviser,218.96742411460144,16.587962239930093,75.7399537224773
mind,7450.240983026258,713.3650846640733,1866.9920765962133
pier,170.3582316664011,14.33109662905525,39.290142680997555
embarrassing,100.51340122140473,10.256941970793358,23.889651150016107
cage,259.15147095838887,17.60355176482377,64.47886426897553
mighty,797.3432264145994,37.187450495656144,213.95085991093504
water,6184.446991011907,966.1014269426621,1087.9455371618985
warrant,328.030564351218,32.93524721652707,85.42236337161279
