,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
5120,terrace,142,854,1359,1660,1314,363
5121,accent,623,1417,1347,1721,2374,859
5122,injustice,727,1774,1435,1018,883,183
5123,incomparable,47,153,263,217,150,37
5124,definitely,30,298,1168,3048,2141,1288
5125,vowel,30,125,264,350,328,67
5126,differ,804,2461,2710,2650,2308,467
5127,encouraging,133,409,556,601,526,178
5128,approval,109,900,2081,3617,3410,740
5129,magnet,34,287,587,457,400,202
5130,sermon,477,2988,2106,1224,921,219
5131,mortality,209,460,435,546,919,236
5132,superhuman,48,249,222,179,123,31
5133,encroachment,202,362,273,235,180,27
5134,confess,1684,4199,4161,2777,1981,604
5135,standard,1279,3166,5898,10283,11492,3134
5136,decency,158,359,543,695,562,92
5137,lateral,99,325,273,304,215,116
5138,bore,213,963,1449,1784,1574,437
5139,loathe,101,302,352,386,403,119
5140,reappear,98,548,799,663,732,174
5141,illusion,305,778,1279,1678,1846,609
5142,circumstance,6663,13000,9160,6321,4832,1036
5143,interfere,744,2457,3184,2536,1708,337
5144,fear,7930,19890,19466,17075,17356,4829
5145,cook,570,2985,4893,6152,7451,3509
5146,despicable,82,164,181,108,119,40
5147,habitation,606,791,490,325,170,53
5148,ghastly,266,1003,905,672,403,99
5149,virtual,46,174,201,447,940,475
5150,coach,450,1613,1617,3100,5923,3883
5151,dissatisfaction,174,411,509,517,415,84
5152,forgive,1791,3938,4041,2661,2844,687
5153,smash,69,384,1125,2456,2149,673
5154,cream,192,1064,1889,2731,3689,1798
5155,discount,328,499,479,1054,1670,459
5156,refund,56,82,111,401,400,83
5157,bird,2410,9655,11143,10339,10892,3190
5158,compare,1636,4501,5375,6364,6810,2169
5159,dissect,34,146,175,200,201,75
5160,harvest,403,1448,1611,1501,1788,617
5161,judicious,605,978,525,203,154,35
5162,reckless,332,1472,1556,901,577,185
5163,distort,137,439,473,687,984,235
5164,ago,1787,9623,18706,27019,27297,8551
5165,statistical,96,176,191,639,759,235
5166,emigration,229,564,386,215,240,30
5167,forfeit,405,728,635,348,314,75
5168,breach,340,812,829,873,733,249
5169,spine,49,290,620,650,1276,640
5170,sedate,67,161,152,189,203,65
5171,sensible,914,2015,1821,1616,1319,294
5172,diffuse,466,996,499,428,393,81
5173,husk,50,238,278,228,238,96
5174,litter,105,402,640,1124,1442,460
5175,fable,256,637,589,299,297,91
5176,sponge,58,297,451,610,540,163
5177,observance,235,604,510,362,255,47
5178,goose,215,661,1038,1168,983,395
5179,correspondent,241,926,1547,3670,2096,228
5180,ridge,390,1496,2518,3117,2589,959
5181,collector,133,376,1109,1237,1658,437
5182,requirement,75,745,1794,3385,3635,750
5183,jaunt,30,51,91,149,132,62
5184,reptile,178,549,530,510,430,114
5185,minister,2338,8992,9096,11790,9737,1432
5186,dame,707,1084,1058,1297,929,282
5187,easy,2812,9425,14329,15186,17251,6475
5188,sharpness,32,192,204,241,169,44
5189,erratic,27,184,234,305,427,80
5190,auctioneer,112,158,115,325,152,46
5191,alight,205,835,957,574,315,79
5192,crazy,209,1033,2355,4815,6792,2119
5193,redemption,231,737,419,284,363,130
5194,temperament,302,1193,1540,998,642,152
5195,jagged,34,178,265,464,560,250
5196,illuminate,314,812,1064,1119,1276,499
5197,celebrity,171,375,311,456,1176,743
5198,civil,1782,5325,5507,7097,8595,1880
5199,real,3134,10619,17863,22033,27640,8742
5200,hammer,184,1079,1673,3198,2742,758
5201,novel,1071,2951,4381,4792,5720,2019
5202,solemn,1737,4533,2915,1862,1045,194
5203,oat,41,308,491,532,341,71
5204,connection,545,4519,5741,6264,4936,1706
5205,surge,213,744,1084,1389,1938,753
5206,upset,55,546,1294,2715,3692,957
5207,tendency,1215,4175,4535,3602,2539,510
5208,condense,102,458,537,460,353,111
5209,steamer,84,2625,4341,1276,376,72
5210,deathly,37,177,189,191,144,37
5211,new,17254,60689,91562,142662,138453,39546
5212,torture,738,2022,1835,1789,1774,612
5213,indicate,1225,4511,6631,12441,9592,1963
5214,recommendation,358,751,1089,2690,2241,478
5215,sinister,109,345,723,996,658,164
5216,disorder,675,1441,1287,1522,1765,893
5217,visitor,281,2787,4943,4272,4722,1553
5218,renew,979,2603,2234,1985,1823,374
5219,cabbage,108,403,870,524,703,232
5220,disseminate,64,175,142,152,222,63
5221,anatomical,59,110,160,172,145,48
5222,generic,28,220,102,118,327,217
5223,clench,125,514,822,1197,1167,508
5224,adjective,28,143,401,483,303,85
5225,wait,3471,15675,27713,35301,34489,10850
5226,add,5932,17180,22444,24529,24989,8524
5227,tint,384,1386,1384,625,454,197
5228,carnival,43,216,306,527,622,171
5229,speak,14822,41756,48765,46533,37486,9476
5230,bitterness,525,1378,1465,1382,925,150
5231,force,6343,23414,29034,36453,37307,8651
5232,lasting,162,368,378,298,293,97
5233,popularity,378,906,1031,1073,1307,361
5234,lavish,291,839,743,668,669,205
5235,circulation,831,1915,1219,1838,1135,283
5236,obtain,4322,10586,9455,9187,5351,786
5237,insignificant,231,760,869,560,455,131
5238,indigenous,71,250,172,205,457,302
5239,seclude,196,548,439,266,257,94
5240,embroidery,65,519,451,470,231,92
5241,uphold,232,760,868,1200,993,180
5242,shrewd,227,910,1376,1530,772,111
5243,inert,48,166,317,395,292,80
5244,suddenly,2678,11054,17082,22002,18283,4272
5245,morning,5784,23370,30977,30848,27472,8639
5246,bland,119,444,506,464,662,166
5247,collision,198,706,840,645,804,228
5248,bonfire,35,167,277,319,303,147
5249,rouse,887,2496,2419,1578,922,213
5250,blister,80,219,307,661,468,223
5251,load,982,3089,4319,5778,5237,1605
5252,belly,93,318,414,2002,3016,1088
5253,legged,58,378,510,767,838,322
5254,tomb,971,1788,1440,957,1012,358
5255,parrot,63,298,479,588,469,132
5256,intentional,51,134,192,126,205,113
5257,pile,782,3253,4741,6310,5078,1743
5258,assumption,279,1131,1429,2196,2810,487
5259,porcupine,28,143,196,131,110,32
5260,trot,141,695,1196,1259,1059,344
5261,vineyard,260,497,399,322,430,207
5262,gape,135,362,434,800,816,287
5263,organic,110,1172,1137,1490,1320,734
5264,gallery,511,1644,2642,2353,3050,1202
5265,provision,2045,4613,4792,5247,3138,470
5266,reporter,103,505,1931,5286,7208,1881
5267,commune,163,425,381,289,499,64
5268,beetle,93,427,444,521,424,231
5269,lover,2016,4820,5512,3262,3934,1028
5270,danger,4497,10398,10763,8587,6887,1438
5271,naturalist,194,701,452,343,218,81
5272,economy,870,2848,2087,5736,9828,2296
5273,surgeon,277,1095,1836,2055,1607,578
5274,emulate,87,216,188,183,281,119
5275,closeness,34,83,124,169,338,65
5276,corrupt,574,1534,1273,994,1266,306
5277,lean,1382,5230,8678,12504,12314,4453
5278,outer,308,1412,2543,2957,2267,632
5279,ahead,326,1952,6274,12967,12218,3342
5280,mortar,113,461,496,571,771,236
5281,urchin,155,275,240,248,161,43
5282,pressure,623,2176,3388,7455,11035,2663
5283,picture,2712,10300,15813,20750,18784,5466
5284,indicative,115,278,234,304,216,52
5285,leave,19764,62126,74629,76244,78766,24706
5286,visible,1122,3484,3122,2782,3776,1163
5287,annuity,73,173,117,252,161,92
5288,paradoxical,26,88,170,196,223,36
5289,burly,26,216,324,444,417,137
5290,glance,2793,9918,14122,12755,10662,4309
5291,shear,33,191,251,361,289,110
5292,bit,606,4055,10016,12484,13548,5336
5293,gent,37,132,664,356,174,41
5294,yacht,70,301,1286,1413,892,296
5295,pulp,50,149,235,542,450,231
5296,ruling,27,147,363,1196,1606,328
5297,embrace,1902,4359,2909,2528,3578,1180
5298,redundant,49,132,65,44,168,46
5299,mishap,54,224,336,282,210,69
5300,muffle,127,504,663,863,953,305
5301,hesitate,1050,3239,4975,4662,3290,998
5302,responsive,51,199,344,372,549,105
5303,gig,114,220,132,158,411,289
5304,velvet,226,1280,1429,1594,1271,514
5305,cipher,32,343,284,154,140,28
5306,lighten,211,583,588,454,459,199
5307,disregard,449,1240,1384,1370,737,173
5308,procession,439,1384,2027,1616,921,194
5309,break,6145,20089,28165,30631,28413,8538
5310,intuition,64,507,614,619,531,177
5311,indisputable,75,193,206,139,93,33
5312,dictator,154,136,283,1597,736,190
5313,rally,339,1120,930,1563,2215,485
5314,inverted,31,85,78,116,65,26
5315,traditional,48,413,901,2277,5997,1850
5316,elf,26,185,281,89,225,194
5317,arbitration,43,223,1051,881,415,43
5318,vitality,117,713,966,1017,699,110
5319,par,285,878,700,1123,877,230
5320,geometry,148,175,202,241,493,123
5321,wipe,453,1583,2454,4228,4318,1509
5322,staple,142,460,421,516,618,347
5323,fragment,570,1967,1999,1603,1641,410
5324,rhetorical,70,200,220,164,349,120
5325,disobedience,108,357,271,177,331,56
5326,cinder,51,223,255,280,306,137
5327,exuberance,44,163,171,174,225,65
5328,endearment,85,140,103,79,97,39
5329,museum,126,706,1991,3278,6417,2804
5330,falter,370,1224,1348,755,722,210
5331,peck,211,271,490,565,827,199
5332,connoisseur,49,181,215,229,201,64
5333,pretty,2753,11083,15990,15881,13477,5040
5334,virtually,151,625,977,2538,4030,860
5335,patriotic,452,1097,1371,1020,662,159
5336,revelry,116,200,159,84,59,32
5337,hog,176,526,829,1918,1054,246
5338,contemplate,983,2290,1879,1821,1497,414
5339,vulture,147,320,207,248,311,88
5340,furniture,516,2037,2420,4085,3834,1239
5341,awed,38,137,296,297,216,42
5342,savor,69,300,279,304,619,290
5343,plant,2172,8334,9834,15979,15268,4643
5344,capture,683,2785,4650,3700,3815,1520
5345,tremor,57,469,469,392,485,147
5346,gymnastic,65,195,240,97,178,65
5347,immovable,79,365,303,210,112,29
5348,navigator,160,252,217,357,238,71
5349,opposition,1314,3879,3900,5495,5270,680
5350,abroad,1543,3570,3689,4039,2805,470
5351,pyramid,267,577,443,647,693,308
5352,suspect,1536,4156,4623,4769,6205,2026
5353,bile,35,163,94,199,251,119
5354,congeal,61,101,78,95,132,41
5355,sick,1552,6161,7036,8022,7182,1913
5356,tearful,109,440,339,162,188,47
5357,found,1501,3152,2583,2357,2531,916
5358,computation,50,165,170,234,158,31
5359,misjudge,33,74,201,144,163,44
5360,fellow,5314,14123,18778,14297,7750,1850
