word,J-SUM,RJ-SUM,C-SUM,RC-SUM,LNC1-SUM,LNC2-SUM,RLNC2-SUM,None
sheep,4.29414576237426,2.2509665302414605,12.04570984840393,9.599682122468948,14.493885447279679,13.747355711583683,5.703031082471964,
mortal,1.7690705688333852,0.6260131712259372,11.994951784610748,9.00808933377266,14.067700485869365,13.175851509959703,7.093603790551086,
obstacle,2.6343005550854035,0.6304866997677887,12.095370471477509,6.34741236269474,13.698215868553943,12.170487303586354,6.374674104670568,
ground,3.2503897206706416,0.6255680957430693,12.755407214164734,8.871468186378479,14.262407395654362,12.839908907934923,8.041054521993015,
procession,3.0745372781013396,0.7776335512512486,12.585489809513092,7.400014519691467,14.126384343128088,13.298274615557675,6.780378497742742,
exclamation,3.3707496400055725,1.28388074618341,10.543492197990417,7.950088024139404,13.838700049132518,13.61753320041368,5.772575967920622,
auditor,0.4333284038252983,0.24574829931972786,7.160619489848614,5.182445741724223,8.00431196462298,6.24636323062081,3.504601802449753,
peak,2.0356019334768782,0.9286811849503833,11.562798619270325,9.949891418218613,14.332805269128626,12.56520951250169,6.592283347720958,
iron,1.8729992628783585,0.5980578787173211,12.159296572208405,8.322163552045822,13.991968055028348,13.530164172899411,5.532585047272365,
unexplored,2.2475355601713627,0.6486146661498882,11.277146518230438,7.93207374215126,13.796642962869788,12.03862385731954,5.312223100914998,
unsettle,0.12244897959183672,0.02040816326530612,4.809263676404953,3.9201972037553787,9.45613568713164,8.683281109265078,4.122111606646083,
mug,1.9308033193665066,1.5415995391658632,10.250945329666138,8.284242123365402,13.860791124362777,13.482750107990089,5.9125662433924155,
favorite,0.7489674253913714,0.534297052154195,11.299311399459839,5.588204890489578,12.467482533975181,12.0694496988704,5.381972738387102,
sucker,0.5124569716878425,0.4470172684458399,7.314871668815613,5.132708378136158,9.858793052692864,8.887464452156424,4.259834966064575,
happy,2.5023001920195718,0.5026975824141301,11.74474722146988,6.894595444202423,13.675574453859962,11.488898733714137,6.293620876391114,
panic,1.968124389687718,0.6869701002698261,11.289463937282562,6.515210121870041,13.757118396738342,13.279878834043481,6.603390820257976,
dissect,1.4505001946147866,0.06382978723404255,10.488015174865723,6.100228365510702,13.419320476134265,12.486227485257421,5.746394209887402,
excruciating,2.2346110582787753,0.8428140549522869,10.746294796466827,8.771419912576675,14.192285804500946,13.443477363214074,5.218612526335235,
scorch,2.588990786611422,0.7770359917016452,12.345603942871094,8.269551575183868,14.452740803928958,14.219299889920075,6.012409674244558,
adventurer,1.0003819176873225,0.7414202961480614,11.290657997131348,6.173332527279854,13.003265233736851,12.273747150037208,5.947068103742067,
eel,2.2144755767351465,1.3427436873393308,11.421208322048187,8.950769007205963,14.348133780431567,13.975406437099894,6.1867146460285225,
meditation,1.6980175597684861,1.0015858675253446,10.763193368911743,6.457102298736572,13.035134170847847,11.240157267249499,4.817435022581145,
intense,2.127373099892623,0.5241399057310251,12.066226363182068,7.322385519742966,14.009931273549139,13.181028445479598,7.465157906500998,
curdle,0.573030374940674,0.16587060356057315,9.310924410820007,7.758479624986649,13.551893969026159,13.326381408076728,5.556387449833636,
subscribe,1.1856639608721014,0.42898919722627926,9.798913776874542,7.908866137266159,12.68985281492241,10.56782547969669,5.885490509285347,
saturate,0.7532191260716437,0.5345989249286461,10.767605364322662,8.290201783180237,14.025239848929479,13.091419143548151,5.741414479805365,
chorus,3.4852863305038126,1.8238422513192123,12.317275583744049,9.86242562532425,14.444922799645875,14.032503892757845,5.989132294559393,
artificial,0.554232192414431,0.33616045863303695,10.162955850362778,5.246895077638328,13.076405709476578,11.842872640492104,5.498739971366975,
crisis,2.3149806792926717,1.115180577318809,12.121554911136627,6.896339073777199,13.28670813786991,10.873363885243078,7.058776350337594,
