word,J-SUM,J-MIN,J-MAX,RJ-SUM,RJ-MIN,RJ-MAX,LNC1-SUM,LNC1F-MIN,LNC1F-MAX,LNC2-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2-SUM,RLNC2F-MIN,RLNC2F-MAX,C-SUM,C-MIN,C-MAX,RC-SUM,R-CMIN,R-CMAX
abandon,2.4046970385630306,0.020408163265306117,0.3157894736842105,0.4758244218023677,0.0,0.16279069767441862,13.46905198291005,0.7323359886857009,0.9803530356577088,13.049398796946745,0.6156311576514156,0.9803530356577088,6.83529674184677,0.07577440902827237,0.7562332863858395,11.485912442207336,0.6260117888450623,0.8928831219673157,3.3162747099995613,0.06445620954036713,0.5380876660346985
abandonment,1.0898894598346165,0.0,0.19047619047619047,0.6448272523500487,0.0,0.35135135135135137,13.492604845249655,0.7825610935088779,0.9735317189338756,12.8387628163074,0.7276156546718858,0.9602362097538856,7.608531551646098,0.23840789421790556,0.6488501234092295,10.266025722026823,0.473683774471283,0.8000742197036743,6.738551884889603,0.19281339645385745,0.7254555225372314
abdicate,2.5918370493555534,0.04166666666666666,0.35135135135135137,0.8833542765913586,0.0,0.19047619047619047,13.815387635101564,0.7292284868802736,0.9879761448679588,12.890112998963733,0.6974048579231655,0.9313488654021476,7.543927940998273,0.2789475726342572,0.6945988184835706,10.292447865009306,0.3812735676765442,0.8672847747802734,8.029761880636215,0.2910274267196655,0.6988642811775208
abhor,2.2718976199555807,0.020408163265306117,0.3157894736842105,0.5406178229741222,0.0,0.16279069767441862,14.253557163407534,0.8693424133890237,0.9910709470423538,13.739102430505936,0.7281965866464799,0.9910709470423538,7.49458721206206,0.35714054743168633,0.7404344714959756,10.695589154958725,0.497338205575943,0.8462500572204591,7.887399315834045,0.3465276658535004,0.6153846383094788
abide,1.6003069384401671,0.0,0.28205128205128205,0.5112874158485398,0.0,0.2195121951219512,13.42831346412824,0.7560111794717848,0.979524759331706,12.077020700106024,0.5716255897214803,0.9542986449480378,6.545727449520264,0.21529139012754409,0.6407893543534479,10.245629400014877,0.35921356081962585,0.8430552482604979,5.639128878712653,0.11592626571655272,0.7713707089424133
ability,2.7334480339018463,0.04166666666666666,0.4705882352941176,0.7890181764405366,0.020408163265306117,0.19047619047619047,14.214081007065985,0.8475814729570317,0.9906980025539788,13.032799570546857,0.7105417377972579,0.9666693265177247,8.288787052263269,0.3307283495373935,0.7864517090894112,11.382104277610779,0.6150677800178528,0.9018085598945618,8.410531491041182,0.3268410265445709,0.7839853167533875
abject,1.4858928210480022,0.0,0.2195121951219512,0.3994306942635211,0.0,0.1111111111111111,14.00370419562763,0.8361574383245093,0.9823297124216072,13.7344278543376,0.7875829775405093,0.9823297124216072,6.777390395120618,0.18108926341792986,0.7138808810300054,10.942822277545927,0.5336890816688538,0.8807456493377686,7.02000829577446,0.209587037563324,0.6578406095504761
able,5.931517339218577,0.19047619047619047,0.5625,0.8611764723830272,0.020408163265306117,0.13636363636363635,14.41572896945966,0.8666726805768488,0.9938674613553188,14.163749350524585,0.842178554140548,0.9938674613553188,6.336976527721492,0.02634840364261648,0.642921196269567,11.613577902317047,0.6624471545219421,0.9143117666244508,6.320100426673889,0.2895481586456299,0.8941663503646851
aboard,2.0763181250571607,0.04166666666666666,0.25,2.131443671894731,0.08695652173913042,0.25,14.048295653821928,0.8336007254653786,0.9805848402879852,12.597614542232382,0.6958127676568118,0.9386014178258584,7.807972513943336,-0.07348575332723528,0.8279219095179359,11.980064690113068,0.6881603598594666,0.9263091087341307,9.430722564458849,0.39772409200668335,0.7908219695091248
abode,2.1596636145668846,0.020408163265306117,0.3888888888888889,0.5018472422780758,0.0,0.16279069767441862,12.89681337312069,0.6894154145605782,0.9804335678503951,11.71611669955742,0.5281619388093649,0.9494150933742124,5.603531368857375,0.15584571677677472,0.7224412353403907,10.34235617518425,0.45376494526863104,0.8868850469589233,4.389394711703062,-0.0551338829100132,0.5802926421165466
abolish,2.6955686445826563,0.06382978723404255,0.3888888888888889,1.0653258244482164,0.020408163265306117,0.2195121951219512,14.409756818882355,0.921172927540744,0.9892275970960104,13.79352717002758,0.8706488147264503,0.9644931648952522,8.691228080575577,0.28220798426521465,0.8801300188265089,11.702808856964113,0.6558858156204224,0.8810377717018127,7.959078282117844,0.28182774782180786,0.8370517492294312
abolition,2.2267430356409124,0.08695652173913042,0.28205128205128205,0.6616333646530554,0.0,0.28205128205128205,14.096868734030584,0.879821926977917,0.9823794551798442,12.505874352529284,0.7331860138446562,0.9559417537770558,8.716786320676222,0.3126690319679871,0.8622016902399205,11.185428440570831,0.6501626968383789,0.8559605479240417,6.448889032006264,0.2138467878103256,0.8279259204864502
abolitionist,1.6770446487691726,0.04166666666666666,0.3157894736842105,0.7918234832850233,0.0,0.3157894736842105,13.590827586461275,0.7514601048815863,0.9766917790431079,12.037032258340824,0.6032316248690421,0.9356039484074136,6.4327461814990174,0.1385423700750461,0.5760737319582749,10.527264922857283,0.4924879372119904,0.8323409557342529,7.918011844158173,0.3027456700801849,0.7492883801460266
abomination,2.3379701044650263,0.0,0.35135135135135137,1.0194013565395883,0.0,0.25,14.093495114351931,0.8095619791055073,0.9844133505571826,13.833729531529498,0.7893369643293967,0.9813595796216936,5.876021100487341,0.0889353218515554,0.6655738833158614,9.516039311885834,0.4883903861045837,0.7997103929519653,7.998078316450119,0.2702513039112091,0.6686829924583435
aboriginal,1.7649560005187133,0.04166666666666666,0.25,0.8582103053987551,0.020408163265306117,0.1111111111111111,14.310826250444846,0.9186616358372608,0.9820418195064762,11.545344259984255,0.6346439957172919,0.904228171480644,6.8272871467950775,0.08264123349417217,0.7344057453448424,11.26673036813736,0.6254884004592896,0.8566598892211914,8.005419820547104,0.3786645233631134,0.7537649869918823
abortion,0.3658249755532727,0.0,0.2195121951219512,0.14370748299319727,0.0,0.04166666666666666,8.901102266924699,0.18918209898055596,0.9767658452576248,7.843856766213487,0.1982571058849918,0.8853858940548813,3.8754762060108647,-0.03761655593125912,0.5644323454370955,4.8424034425988784,-0.012118480168282986,0.8585337400436401,3.503143060952425,0.030248098075389862,0.632921040058136
abound,1.7989839691425678,0.0,0.3888888888888889,0.38072321127032377,0.0,0.1111111111111111,13.653468416333823,0.8054513088569599,0.9854404518960732,13.078296336114485,0.7072955796966713,0.9668669097027968,6.626129516737125,0.06639230728541601,0.7039271027286228,11.261923551559448,0.5897434949874878,0.8880848288536072,5.686248913407326,0.24231301248073575,0.5967600345611572
abreast,1.571248196248196,0.0,0.19047619047619047,0.5246497808609609,0.0,0.13636363636363635,13.753145406182542,0.802433630388989,0.9806736482833692,12.218177790820642,0.6759008524365503,0.9377458068040408,6.514514507456702,-0.017584742031076406,0.7743894184368681,10.536204159259798,0.5359341502189636,0.8402459025382996,6.642295986413956,0.2481754422187805,0.7311073541641235
abroad,2.5734172451672963,0.06382978723404255,0.3888888888888889,0.9053569015482894,0.0,0.16279069767441862,13.57974047019886,0.8092113328796264,0.9878866226778408,11.859714304778915,0.4792032012928871,0.9878866226778408,7.0742406725616345,-0.014087589809716803,0.729630203183379,11.125720202922821,0.4989993572235107,0.8870992064476013,5.28231231123209,0.10500208288431168,0.6338725090026855
abrupt,1.8650899470119957,0.0,0.25,0.0824829931972789,0.0,0.04166666666666666,12.989037977702653,0.6079658800906254,0.9727328848137268,12.513882556497107,0.5505948162728256,0.9675744120357472,5.82405757480216,0.07177376663122104,0.6792399739690749,10.61325579881668,0.4907687306404114,0.8327364325523376,3.269787802360952,-0.012941866181790829,0.5895721316337585
absence,1.5471522502055857,0.020408163265306117,0.3157894736842105,0.14370748299319727,0.0,0.04166666666666666,13.522037465312188,0.7515974178669106,0.9740482491124351,12.56405326931501,0.6341214762305104,0.9684809725654576,7.184719384992134,0.19377590134104816,0.8034784093833588,11.417868971824644,0.5866943597793579,0.9193301796913148,4.4416649639606485,0.10646046698093414,0.8825518488883972
absent,1.2879678419192098,0.020408163265306117,0.35135135135135137,0.061224489795918366,0.0,0.020408163265306117,11.115052469581663,0.4937674701805354,0.9654296554085592,10.389210989871245,0.4670488212067605,0.9328634968537296,5.198017250236075,-0.19273598536455894,0.6851156282213874,9.033087551593779,0.3260572254657745,0.8500919938087463,3.0989403710700567,-0.13707216084003448,0.5445040464401245
absentee,1.2469187336696597,0.0,0.2195121951219512,0.5417209436966276,0.0,0.1111111111111111,12.420903095957234,0.5441803412454943,0.9295283722417932,10.613534209810997,0.3874799627088095,0.9129582728304432,4.885612623540575,0.0075303284762012765,0.6440924496592827,7.949812829494476,0.33414706587791443,0.7137401103973389,6.163203865289687,0.1709049642086029,0.68653804063797
absolute,1.7419720855981151,0.0,0.2195121951219512,0.4009538598047915,0.0,0.08695652173913042,13.824280478472257,0.7627634547743186,0.9787307217150308,12.775152585478557,0.6748008085666389,0.9787307217150308,8.711131826985463,0.3596053747039143,0.8792616500612948,11.963250815868378,0.675332248210907,0.9191222190856934,6.084225758910179,0.16372212767601013,0.6236586570739746
