word,slice,x,y,score
sponsor,1960,4.9632025,-2.2694733,5.8255140096880496
sponsor,2000,3.775393,-2.208468,5.8255140096880496
roughly,1800,-1.1276186,0.2562842,5.9259027793305
roughly,1840,-2.106895,0.45641303,5.9259027793305
roughly,1880,-1.4562778,0.8052132,5.9259027793305
roughly,1920,-0.6334977,2.721519,5.9259027793305
roughly,1960,0.80836225,2.3175807,5.9259027793305
roughly,2000,0.9579941,1.6748939,5.9259027793305
retrieve,1800,1.7235553,0.27829292,6.051624259445816
retrieve,1840,1.6898506,-0.36703348,6.051624259445816
retrieve,1880,0.852717,0.0778458,6.051624259445816
retrieve,1920,-2.6139047,1.157122,6.051624259445816
retrieve,1960,-3.7630312,1.4824203,6.051624259445816
retrieve,2000,-2.0463107,1.030397,6.051624259445816
pose,1800,0.81982386,-0.36363912,6.065565513446928
pose,1840,0.24092408,-0.57882,6.065565513446928
pose,1880,-0.19842134,-0.88210815,6.065565513446928
pose,1920,0.8309435,-0.666063,6.065565513446928
pose,1960,1.3004526,1.1644797,6.065565513446928
pose,2000,2.0725992,1.1348382,6.065565513446928
wallop,1800,-0.2933741,-1.540046,6.067359119653702
wallop,1840,-0.23713557,-0.43412143,6.067359119653702
wallop,1880,-1.7021693,-1.4432068,6.067359119653702
wallop,1920,-2.072802,-0.1650743,6.067359119653702
wallop,1960,-0.7694449,-0.44195202,6.067359119653702
wallop,2000,0.05321203,0.30954403,6.067359119653702
monitor,1800,1.0511432,-0.50170255,6.116849079728127
monitor,1840,0.68478966,-0.23129348,6.116849079728127
monitor,1880,0.444759,0.31450906,6.116849079728127
monitor,1920,2.4201143,-0.8710105,6.116849079728127
monitor,1960,0.10640321,1.9546354,6.116849079728127
monitor,2000,1.4204274,2.2059228,6.116849079728127
recorder,1800,0.27249184,-0.8330997,6.1192700690589845
recorder,1840,0.51641625,-2.1624532,6.1192700690589845
recorder,1880,1.2793941,-1.7955502,6.1192700690589845
recorder,1920,0.06658585,-0.1525205,6.1192700690589845
recorder,1960,-2.7145803,0.72960514,6.1192700690589845
recorder,2000,-1.3454359,0.4263195,6.1192700690589845
stereotype,1800,-0.14083335,0.18585205,6.182572010904551
stereotype,1840,1.1766508,-0.051314905,6.182572010904551
stereotype,1880,1.1763507,0.551164,6.182572010904551
stereotype,1920,2.1807845,0.8966234,6.182572010904551
stereotype,1960,3.0847335,1.0458517,6.182572010904551
stereotype,2000,3.5561502,0.85314673,6.182572010904551
lingo,1800,-1.4443585,-1.0083594,6.303234651684762
lingo,1840,-0.37708858,0.003141694,6.303234651684762
lingo,1880,-0.36225915,-0.4789844,6.303234651684762
lingo,1920,0.11414811,0.30909622,6.303234651684762
lingo,1960,0.14262657,-0.6628033,6.303234651684762
lingo,2000,0.51304626,0.19945046,6.303234651684762
