word,neighbor,year,cosine,score
hooker,ewell,1840,0.8637940883636475,6.838546483227661
hooker,ewell,2000,0.09871143847703934,6.838546483227661
hooker,geary,1840,0.8739137649536133,6.838546483227661
hooker,geary,2000,0.22523514926433563,6.838546483227661
hooker,meade,1840,0.8967863917350769,6.838546483227661
hooker,meade,2000,0.013297629542648792,6.838546483227661
hooker,johnston,1840,0.876360297203064,6.838546483227661
hooker,johnston,2000,0.22559331357479095,6.838546483227661
hooker,mcdowell,1840,0.8886911273002625,6.838546483227661
hooker,mcdowell,2000,0.21098747849464417,6.838546483227661
hooker,liar,1840,-0.0763801634311676,6.838546483227661
hooker,liar,2000,0.6991139650344849,6.838546483227661
hooker,jackass,1840,-0.03629232197999954,6.838546483227661
hooker,jackass,2000,0.7155815958976746,6.838546483227661
hooker,gambler,1840,-0.25518104434013367,6.838546483227661
hooker,gambler,2000,0.650664746761322,6.838546483227661
hooker,idiot,1840,-0.20036956667900085,6.838546483227661
hooker,idiot,2000,0.6519902944564819,6.838546483227661
hooker,maniac,1840,-0.13515086472034454,6.838546483227661
hooker,maniac,2000,0.667675256729126,6.838546483227661
doomsday,shill,1840,0.5363435745239258,6.787438200071222
doomsday,shill,2000,0.16630811989307404,6.787438200071222
doomsday,ere,1840,0.5579663515090942,6.787438200071222
doomsday,ere,2000,-0.2121344953775406,6.787438200071222
doomsday,end,1840,0.5531051754951477,6.787438200071222
doomsday,end,2000,0.19441789388656616,6.787438200071222
doomsday,stay,1840,0.6288231611251831,6.787438200071222
doomsday,stay,2000,-0.24587970972061157,6.787438200071222
doomsday,shall,1840,0.5557902455329895,6.787438200071222
doomsday,shall,2000,-0.08975056558847427,6.787438200071222
doomsday,portend,1840,0.10943573713302612,6.787438200071222
doomsday,portend,2000,0.7264308929443359,6.787438200071222
doomsday,miscalculation,1840,0.12093621492385864,6.787438200071222
doomsday,miscalculation,2000,0.8346184492111206,6.787438200071222
doomsday,threat,1840,0.08318457007408142,6.787438200071222
doomsday,threat,2000,0.6831409335136414,6.787438200071222
doomsday,fledged,1840,0.08039374649524689,6.787438200071222
doomsday,fledged,2000,0.6824909448623657,6.787438200071222
doomsday,catastrophe,1840,0.1375611126422882,6.787438200071222
doomsday,catastrophe,2000,0.6976449489593506,6.787438200071222
adamant,rive,1840,0.7236766219139099,4.6322307429216325
adamant,rive,2000,-0.011540447361767292,4.6322307429216325
adamant,cleave,1840,0.6460273861885071,4.6322307429216325
adamant,cleave,2000,0.0012790289474651217,4.6322307429216325
adamant,corrode,1840,0.6313943862915039,4.6322307429216325
adamant,corrode,2000,-0.2849161922931671,4.6322307429216325
adamant,titan,1840,0.6484805941581726,4.6322307429216325
adamant,titan,2000,-0.2047073245048523,4.6322307429216325
adamant,shatter,1840,0.6357231140136719,4.6322307429216325
adamant,shatter,2000,-0.10027576982975006,4.6322307429216325
adamant,disagree,1840,-0.2511596083641052,4.6322307429216325
adamant,disagree,2000,0.7895413041114807,4.6322307429216325
adamant,believe,1840,0.08738413453102112,4.6322307429216325
adamant,believe,2000,0.658233642578125,4.6322307429216325
adamant,insist,1840,-0.31022363901138306,4.6322307429216325
adamant,insist,2000,0.6811408996582031,4.6322307429216325
adamant,chastise,1840,0.01614503189921379,4.6322307429216325
adamant,chastise,2000,0.6503453254699707,4.6322307429216325
adamant,concur,1840,-0.1931217759847641,4.6322307429216325
adamant,concur,2000,0.657779335975647,4.6322307429216325
aids,engineering,1840,0.7765305638313293,7.379452040763228
aids,engineering,2000,0.10105455666780472,7.379452040763228
aids,operations,1840,0.6374564170837402,7.379452040763228
aids,operations,2000,-0.004204531665891409,7.379452040763228
aids,culinary,1840,0.6590401530265808,7.379452040763228
aids,culinary,2000,0.07960566133260727,7.379452040763228
aids,personnel,1840,0.6117634177207947,7.379452040763228
aids,personnel,2000,0.07157626748085022,7.379452040763228
aids,engineers,1840,0.6201171278953552,7.379452040763228
aids,engineers,2000,0.1337548941373825,7.379452040763228
aids,colon,1840,0.19002826511859894,7.379452040763228
aids,colon,2000,0.677645206451416,7.379452040763228
aids,asthma,1840,-0.06563488394021988,7.379452040763228
aids,asthma,2000,0.6812241673469543,7.379452040763228
aids,epidemic,1840,-0.10025827586650848,7.379452040763228
aids,epidemic,2000,0.7868861556053162,7.379452040763228
aids,cholera,1840,-0.11356354504823685,7.379452040763228
aids,cholera,2000,0.7175547480583191,7.379452040763228
aids,disease,1840,0.03874954953789711,7.379452040763228
aids,disease,2000,0.674800455570221,7.379452040763228
colon,supra,1840,0.5680708289146423,6.403312259558464
colon,supra,2000,0.2136288434267044,6.403312259558464
colon,serf,1840,0.5901915431022644,6.403312259558464
colon,serf,2000,-0.09072183817625046,6.403312259558464
colon,slave,1840,0.5678661465644836,6.403312259558464
colon,slave,2000,0.03154098615050316,6.403312259558464
colon,loc,1840,0.5664047002792358,6.403312259558464
colon,loc,2000,0.07066409289836884,6.403312259558464
colon,app,1840,0.5802900791168213,6.403312259558464
colon,app,2000,0.2022092193365097,6.403312259558464
colon,cancer,1840,0.2246500700712204,6.403312259558464
colon,cancer,2000,0.8957020044326782,6.403312259558464
colon,pancreatic,1840,0.29882970452308655,6.403312259558464
colon,pancreatic,2000,0.9415010809898376,6.403312259558464
colon,uterine,1840,0.35737013816833496,6.403312259558464
colon,uterine,2000,0.8904193639755249,6.403312259558464
console,affliction,1840,0.6948459148406982,7.352950967212051
console,affliction,2000,-0.32511016726493835,7.352950967212051
console,soothe,1840,0.6762449741363525,7.352950967212051
console,soothe,2000,0.10827626287937164,7.352950967212051
