word,neighbor,year,cosine,score
wind,tempest,1840,0.7941600680351257,13.378039346712864
wind,tempest,2000,0.534690260887146,13.378039346712864
wind,freshen,1840,0.821222186088562,13.378039346712864
wind,freshen,2000,0.20606526732444763,13.378039346712864
wind,wintry,1840,0.7497969269752502,13.378039346712864
wind,wintry,2000,0.5865283608436584,13.378039346712864
wind,tornado,1840,0.7594196796417236,13.378039346712864
wind,tornado,2000,0.7063533663749695,13.378039346712864
wind,rain,1840,0.7495362162590027,13.378039346712864
wind,rain,2000,0.7536090612411499,13.378039346712864
wind,rain,1840,0.7495362162590027,13.378039346712864
wind,rain,2000,0.7536090612411499,13.378039346712864
wind,tornado,1840,0.7594196796417236,13.378039346712864
wind,tornado,2000,0.7063533663749695,13.378039346712864
wind,thunderstorm,1840,0.6492538452148438,13.378039346712864
wind,thunderstorm,2000,0.7112420797348022,13.378039346712864
wind,monsoon,1840,0.5933235287666321,13.378039346712864
wind,monsoon,2000,0.7130699157714844,13.378039346712864
wind,gusty,1840,0.7566081881523132,13.378039346712864
wind,gusty,2000,0.7437876462936401,13.378039346712864
evening,yesterday,1840,0.7260193228721619,13.818410735814158
evening,yesterday,2000,0.6229487657546997,13.818410735814158
evening,sunday,1840,0.7455591559410095,13.818410735814158
evening,sunday,2000,0.7525308728218079,13.818410735814158
evening,saturday,1840,0.8208299279212952,13.818410735814158
evening,saturday,2000,0.756352961063385,13.818410735814158
evening,morning,1840,0.895462691783905,13.818410735814158
evening,morning,2000,0.8685113787651062,13.818410735814158
evening,sunrise,1840,0.7029973864555359,13.818410735814158
evening,sunrise,2000,0.5999729633331299,13.818410735814158
evening,midnight,1840,0.6210129261016846,13.818410735814158
evening,midnight,2000,0.7776688933372498,13.818410735814158
evening,weekday,1840,0.48724666237831116,13.818410735814158
evening,weekday,2000,0.7967883348464966,13.818410735814158
evening,overcast,1840,0.28531497716903687,13.818410735814158
evening,overcast,2000,0.7023311257362366,13.818410735814158
evening,sunday,1840,0.7455591559410095,13.818410735814158
evening,sunday,2000,0.7525308728218079,13.818410735814158
evening,saturday,1840,0.8208299279212952,13.818410735814158
evening,saturday,2000,0.756352961063385,13.818410735814158
reddish,ochre,1840,0.8714260458946228,13.870855226410324
reddish,ochre,2000,0.8040717840194702,13.870855226410324
reddish,bluish,1840,0.9155808091163635,13.870855226410324
reddish,bluish,2000,0.8550538420677185,13.870855226410324
reddish,umber,1840,0.8159242868423462,13.870855226410324
reddish,umber,2000,0.7634385228157043,13.870855226410324
reddish,grayish,1840,0.939651608467102,13.870855226410324
reddish,grayish,2000,0.8534693717956543,13.870855226410324
reddish,brownish,1840,0.9449631571769714,13.870855226410324
reddish,brownish,2000,0.8674501776695251,13.870855226410324
reddish,glisten,1840,0.6004361510276794,13.870855226410324
reddish,glisten,2000,0.8131137490272522,13.870855226410324
reddish,bluish,1840,0.9155808091163635,13.870855226410324
reddish,bluish,2000,0.8550538420677185,13.870855226410324
reddish,grayish,1840,0.939651608467102,13.870855226410324
reddish,grayish,2000,0.8534693717956543,13.870855226410324
reddish,brownish,1840,0.9449631571769714,13.870855226410324
reddish,brownish,2000,0.8674501776695251,13.870855226410324
reddish,whiter,1840,0.7597787380218506,13.870855226410324
reddish,whiter,2000,0.8225393295288086,13.870855226410324
thunder,thunderbolt,1840,0.7708237767219543,14.045091754513562
thunder,thunderbolt,2000,0.6011214852333069,14.045091754513562
thunder,salvo,1840,0.7641212940216064,14.045091754513562
thunder,salvo,2000,0.09836722165346146,14.045091754513562
thunder,reverberation,1840,0.7919139266014099,14.045091754513562
thunder,reverberation,2000,0.5149210691452026,14.045091754513562
thunder,temp,1840,0.7720040082931519,14.045091754513562
thunder,temp,2000,0.0003621115174610168,14.045091754513562
thunder,deafening,1840,0.7676459550857544,14.045091754513562
thunder,deafening,2000,0.7305119633674622,14.045091754513562
thunder,shrill,1840,0.684973955154419,14.045091754513562
thunder,shrill,2000,0.764448881149292,14.045091754513562
thunder,hissing,1840,0.734275221824646,14.045091754513562
thunder,hissing,2000,0.780198872089386,14.045091754513562
thunder,rumble,1840,0.7381656169891357,14.045091754513562
thunder,rumble,2000,0.8259323835372925,14.045091754513562
thunder,thumping,1840,0.6485818028450012,14.045091754513562
thunder,thumping,2000,0.7897050976753235,14.045091754513562
thunder,howls,1840,0.7380908727645874,14.045091754513562
thunder,howls,2000,0.7730752229690552,14.045091754513562
scar,stain,1840,0.6449970602989197,13.3493413699081
scar,stain,2000,0.5035088062286377,13.3493413699081
scar,gash,1840,0.8915302753448486,13.3493413699081
scar,gash,2000,0.7889065146446228,13.3493413699081
scar,breast,1840,0.6415832042694092,13.3493413699081
scar,breast,2000,0.4422002136707306,13.3493413699081
scar,scarred,1840,0.7939619421958923,13.3493413699081
scar,scarred,2000,0.5333913564682007,13.3493413699081
scar,lacerate,1840,0.6776285171508789,13.3493413699081
scar,lacerate,2000,0.4925898313522339,13.3493413699081
scar,skull,1840,0.5670264959335327,13.3493413699081
scar,skull,2000,0.7303828597068787,13.3493413699081
scar,bleed,1840,0.7124109864234924,13.3493413699081
scar,bleed,2000,0.7166242599487305,13.3493413699081
scar,bruise,1840,0.6996410489082336,13.3493413699081
scar,bruise,2000,0.8274587392807007,13.3493413699081
scar,wart,1840,0.2314177006483078,13.3493413699081
scar,wart,2000,0.7650270462036133,13.3493413699081
scar,gash,1840,0.8915302753448486,13.3493413699081
scar,gash,2000,0.7889065146446228,13.3493413699081
wrist,manacle,1840,0.7289042472839355,13.840607228955404
wrist,manacle,2000,0.6557565927505493,13.840607228955404
