"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,12.3538507920608,7.15351109366793,12.9052918440926,10.5760343372822,1.51631543618191,5.32266172766685,0.315752295367731
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.5598727927125,6.61877872055048,13.317747989738,10.7948497831821,0.44849274332557,7.10881969332695,0.350340136054422
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.1641949830236,5.96671419211387,13.3441786029523,10.7004000544548,1.37102308097618,8.89034262299538,0.333387610363294
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.5312212071934,5.92785153053576,13.8668601860651,10.4427797794342,1.32999683175171,9.49911001324654,0.493782598398034
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,11.9178585088208,6.31830085277718,13.1205884552057,9.5242585837841,0.754368798879705,5.38089297711849,0.396026592455164
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,12.0414353612978,6.49444927425139,13.6216540007854,11.1588408052921,1.41879914214923,6.73818491399288,0.586353777347566
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.778454075236,6.31760346879667,13.9141362838216,10.8473774790764,0.965845813928148,8.06105118989944,1.17053762931787
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,13.0559076423214,5.15856837973362,14.0127359652124,10.3061864972115,3.42353530790401,4.98103690519929,0.965100381955161
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,12.2065371124981,6.36667981666144,14.054010550303,12.324208855629,1.97674243132378,10.403862118721,0.976874385837647
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.0525211617784,5.01907691772644,13.0046256849653,10.5414673686028,2.12090166288515,6.57914327085018,1.17439732922621
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.4607390214749,6.66111989769733,14.1577617901947,11.8137440085411,1.5277687778268,9.31351855397224,0.778079650552229
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,11.7588750827133,7.10457848441513,13.5325061705853,11.2943813800812,1.61735557943964,7.86203542351723,0.555702117561523
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,11.4159163619878,6.57736666195343,13.6736522766259,11.1112822890282,2.24687841709118,8.88871571421623,1.32647995845102
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.4307674603245,5.72361410999145,13.9042777566954,9.52056246995926,1.83382470625198,7.01746916025877,1.54753859692147
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.9216845476364,6.19612051534474,13.9734880046101,11.5388675928116,1.05483971586325,8.42396295070648,0.591165111607695
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,7.79026534988935,3.5529597660218,9.04419288890484,6.36343003809452,0.404650787938764,4.61262136697769,0.337301587301587
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,12.9022488981573,5.50562638961372,13.1582431479431,11.2562853097916,0.989211600038215,6.21015894412994,0.497448979591837
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,11.8311064444366,5.97744846820679,13.028756085345,10.366569519043,0.973694935131307,6.81906689703465,0.192743764172336
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,8.76549840588542,4.98169964839824,12.5114521042917,10.3007445335388,1.70919811700889,5.9127338975668,0.534291867312234
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,12.0373086172567,4.94732345194161,12.7566392678769,10.5451987981796,1.11855463103501,7.46677477657795,0.542679837892604
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,10.7139069978642,6.12027638363905,12.7296099578582,10.1484408974648,1.47937241351118,5.56723236292601,0.753027134706066
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,9.89799830748562,3.68362561992961,10.9298987356742,7.26174612343311,0.99107025274986,4.30788683146238,0.520516717325228
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,8.407005215055,5.3709463990543,11.4761660166006,8.31353697180748,0.31859410430839,5.22239236533642,0.123299319727891
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,12.6876676008841,7.29233483595821,13.7791166131315,11.5767304301262,1.10281924990452,7.75946906208992,0.399026631929367
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,12.6061711928737,6.7950955514082,13.5702084544438,10.0392209887505,2.46492469094803,6.96585164219141,1.34066453411506
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,13.0804425431027,6.03755936035163,14.0197605974369,11.7189620137215,1.59700393215911,8.53647056221962,1.18134631463429
"absolve",12.9,1.85,29,25,"Verb",51,7,33.9864669011706,13.4525773223306,6.6102332129082,13.8857349416335,10.7858284115791,0.653079650552229,7.80928644537926,0.291038154392192
"absorb",8.83,3.11,101,92,"Verb",52,6,469.161508818875,11.6764762711803,6.16006643586852,12.7205371922632,9.32147940993309,1.11894880701872,4.74809958413243,0.248299319727891
"abstain",12.95,2.38,26,19,"Verb",52,7,59.325102805997,11.1929226539752,6.21931124672444,12.6456724275831,10.6777902245522,0.532359860379551,4.17341249622405,0.0408163265306122
"abstinence",12.74,1.72,45,28,"Noun",73,10,43.5859368632559,11.2218586660414,6.21409067764585,12.9234477063562,10.4497047960758,1.73640167777541,5.86616072058678,0.483215025140491
"abstract",11.47,1.45,111,82,"Adjective",53,8,276.535254153133,11.956267245333,6.98840841442681,13.9356212880616,10.7360973954201,1.18962544455543,8.98778280615807,0.646114276874831
"abstraction",13.65,1.57,15,11,"Noun",55,11,100.329554941038,12.213170312267,6.81207564327813,13.6709445586359,9.54948031902313,0.862705572802736,7.44542697072029,0.562129106961934
"absurd",10.5,1.64,495,397,"Adjective",53,6,308.811761172097,13.6145873744245,6.71961072005287,14.1098341104944,11.2695400118828,1.4037249600789,8.26137205958366,0.905561710289475
"absurdity",13.21,1.25,32,31,"Noun",72,9,124.178137465906,13.4432167824157,6.50880156166908,14.081651143539,11.7304645180702,1.6044981913145,8.48712450265884,0.479867941626234
"abundance",10.45,2.21,45,41,"Noun",68,9,206.395876507815,13.2207860170582,6.55550517654226,14.0908168974407,11.5701379776001,2.56175628449232,6.41718444228172,0.728984372601394
"abundant",12.84,2.83,29,26,"Adjective",62,8,250.661843491632,12.6118430829308,6.64885106124805,13.9529173848048,11.5288431048393,2.18206812428513,8.10240516066551,0.421362023070098
"abuse",8.61,2.71,523,409,"Noun",35,5,525.860872348073,12.6437385154743,7.58038348285363,13.7281299068364,11.2458095550537,1.52294155414537,7.66450092196465,0.687894217343156
"abusive",9.58,2.55,83,81,"Adjective",56,7,25.4656522104064,12.6887066513488,5.24238899298011,13.44099491767,9.50490614771843,1.29785515333688,8.03390067815781,0.860254631473612
"abyss",11,3.07,90,67,"Noun",40,5,92.372177832932,13.6367075794641,7.96820383087629,14.1484433510598,12.7196937203407,2.55795359370152,8.41739743947983,0.64164074833298
"academic",9.74,2.11,238,181,"Adjective",51,8,261.930797130214,12.377112709982,6.49338016918752,14.3587926653049,12.1599825620651,2.64406761349983,10.387127161026,2.60586885435356
"accelerate",10.74,3.48,65,53,"Verb",61,10,103.4695356319,12.2797473327614,5.96985228571601,13.5795907790392,11.8944158554077,1.91314781338134,7.29092125594616,0.798655543150074
"accent",8.6,3.26,621,447,"Noun",37,6,329.717830828074,12.509431676848,6.43055465544134,13.1745620852328,10.5623675882816,2.17869253735616,5.81489755958319,0.859414255236777
"accept",6.74,3.03,2692,1861,"Verb",44,6,1809.12683461098,14.0709750156051,7.53576974552544,14.0885225525653,10.5437296032906,3.79207568115076,8.41723918914795,0.610132813532444
"acceptable",9.84,1.93,269,243,"Adjective",66,10,174.609622977341,11.352614547603,5.8932046552748,12.196360373062,8.73867619037628,1.19581338235087,6.02910450100899,0.142857142857143
"acceptance",8.56,2.21,161,140,"Noun",71,10,228.444637440018,13.1282040070686,6.15281867101629,13.5890782776634,9.87661451101303,2.09669197630005,7.41979968547821,0.448504983388704
"access",9.1,2.71,1615,923,"Noun",40,6,391.420457462776,10.4193305284551,6.44750608012716,13.1419858668249,10.9118450284004,1.53074404366988,6.09207653999329,0.612738110970568
"accessible",9.94,1.8,56,50,"Adjective",74,10,111.066107916846,11.3021992590859,6.42979494415993,13.3188905168537,11.1535444259644,2.02322321656834,6.30847737193108,0.168475900998697
"accessory",11.15,4.1,147,125,"Noun",63,9,83.5875930413054,10.1204832272807,4.68965637293052,9.76032097582511,7.9849858134985,0.510260515641131,4.52911304309964,0.346464167062174
"accident",5.3,3.26,4146,2180,"Noun",51,8,745.456423399443,11.1075571184148,5.87359262881046,13.4702126793981,11.4804928302765,2.39649515772414,6.70892487466335,0.396059999844871
"accidental",6.75,2.17,153,134,"Adjective",59,10,133.37950516524,12.2762659713201,4.97224711915745,13.4211044746013,11.212610065937,0.852982285617412,6.65124989300966,0.29449379196637
"accommodate",9.9,1.86,109,106,"Verb",76,11,174.320599937226,11.6694358995304,5.96711565111442,12.7910494837532,10.4976578354836,1.91733539036356,6.06411384046078,0.934191112498638
"accommodation",9.58,2.96,48,45,"Noun",76,13,168.188055631489,12.1195741184953,5.8982354021875,13.7366626295563,11.6663610339165,2.63808394243177,8.78830996155739,1.37549859890285
"accompaniment",11.18,2.26,15,13,"Noun",86,13,74.5340500273876,12.9089817392818,4.45311973869623,13.5878309938276,10.8871713280678,1.4615609239514,8.20294665545225,1.55101732238422
"accompany",10.75,3.07,242,213,"Verb",72,9,933.242708849837,13.0388894035132,4.83632431544044,13.738923515474,10.7568536996841,2.76428964492042,7.94867795705795,0.408210200515606
"accomplice",9.78,3.34,216,147,"Noun",71,10,47.9619345239505,13.4219034578632,6.73952196740964,14.3705146477544,12.0072635412216,2.44514044832828,9.76362425088882,1.12278782367655
"accomplish",7.84,2.33,298,263,"Verb",70,10,771.15708714932,12.6959436594849,6.69404047764694,14.1221421606869,11.159831404686,3.15449661028409,6.49065372068435,0.336160458633037
"accomplishment",9,2.5,96,87,"Noun",94,14,238.808749488672,12.652529758579,7.21598605543689,13.4693871654488,10.5759115219116,1.78003006284084,6.45480259507895,1.13682845941337
"accord",9.65,1.57,83,66,"Noun",47,6,2203.82203029632,11.5683995308601,7.1495784370053,12.3489057420902,9.76393437385559,1.2102059431252,6.04421280510724,0.578231292517007
"accordance",11.7527,1.54,81,66,"Preposition",74,10,178.403320281955,11.9638456042076,7.7717373580653,13.7284381403111,10.3401367068291,1.25808427226151,7.27569271624088,0.557478063689244
"account",8.26,3.08,2280,1386,"Noun",52,7,2537.75152094991,11.5963465593072,5.27725692392149,13.2586758445908,11.1018155813217,1.46587490724864,6.03512406349182,0.4394482164239
"accountability",12.16,1.55,24,17,"Noun",99,14,36.3395020371296,9.33000022034973,6.99461895271195,12.5699494224286,9.02800658345222,0.673967320508222,6.78954699635506,0.268761760023158
"accountable",11.7,2.21,72,65,"Adjective",68,11,47.7077769449787,11.9848557501418,7.08920046263383,13.8656853192778,10.5717860460281,1.2958960180771,6.39582122862339,0.458609438224874
"accrue",14.11,1.61,4,4,"Verb",52,6,49.8896560530766,13.0409231125648,6.37036371957367,14.3228187862637,11.495784163475,1.48992389618573,7.61016157269478,0.76243580436127
"accumulate",12.3,3,29,27,"Verb",62,10,251.046556401963,12.3556481689034,7.49809449820788,13.8724217411065,11.6738012433052,1.89984702829668,6.94995227456093,0.227040816326531
"accumulation",10.5,2.97,13,13,"Noun",67,12,122.110825628829,11.7800276657355,7.32294105217886,13.542559332053,11.630181491375,1.16635346954881,7.82467484474182,0.655297845461069
"accuracy",9.71,1.85,76,65,"Noun",72,8,201.100393780471,11.6330739466224,5.97909358438382,13.8328606431792,12.0183166861534,2.40353709099889,8.886060744524,0.493836875427995
"accurate",9.44,1.9,400,344,"Adjective",53,8,277.018455677816,13.1921074941212,6.93135087801038,14.2104490930909,12.069553732872,3.5353535880129,8.44188386201859,1.01177800678118
"accusation",10.17,2.38,143,128,"Noun",55,10,159.644021875298,13.9360273013004,8.94218983857415,14.5041122925391,12.9063133001328,2.52445416361296,9.76542091369629,1.09123154672449
"accuse",9.1,2.25,290,233,"Verb",40,6,506.711226264413,14.1364903359652,7.23419217549742,14.6386174941638,12.7578134536743,3.05321039732663,10.6733074188232,1.16434121654156
"accuser",11.72,3.44,15,12,"Noun",48,7,45.4826602963469,13.7860547466623,7.22727872128643,14.504594737713,11.8677456974983,2.81799649988446,9.80991724133492,2.14513385359218
"accustom",12,1.48,6,5,"Verb",60,8,305.472074327077,13.2197231351928,7.24601116923387,13.7743458468382,10.7057364881039,1.65117515923496,9.10145655274391,0.527035991701645
