"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,13.03062883402,6.6559450516649,13.4768479000626,11.6634956598282,2.67794793707919,3.67169208079576,0.143707482993197
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.8309638326904,8.22527336344187,13.5794731819487,10.4258633255959,1.5014811378632,6.07564932107925,0.590801538006507
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.5815724473661,7.55643942470176,13.9602540274343,11.1051381230354,2.36439444465536,5.86770820617676,0.465024937598628
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.5004264415258,7.68669268324164,14.1362461541345,11.0014927983284,1.90406195102959,7.7780422270298,0.661408159260677
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,12.2147867153734,7.16162083399274,13.3786016403741,10.5214444100857,1.66848660211673,5.82621017098427,0.18452380952381
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,13.6063165215426,9.02127679959714,14.3738223474018,11.8615142703056,3.27398123384429,6.79139013960958,0.822276348801407
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.5468451309385,6.99022649323889,13.9120682654255,11.2208878397942,1.70034517455947,6.1326776444912,0.331686930091185
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,14.2723748832222,6.73025431333568,14.489236931133,12.1395890712738,5.55193642315064,5.4102268666029,0.773381020941411
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,12.0215444122041,7.8604710510707,13.7015815513694,11.838208258152,1.46518514660977,8.67610540986061,1.54511098574196
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.1998391962441,6.89816768457583,13.3506584803268,10.5506954789162,2.01270442295049,5.35951212048531,0.647169346158984
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.4668302456089,8.77156916750316,14.4467541470534,11.9348721504211,2.41990284313323,8.4340038895607,1.42968779051441
