"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,13.0390775233235,7.61757119740818,13.4391957184554,11.9042556285858,1.64827775717549,5.74641273915768,0.374258213923867
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.8834311941518,7.85179361626886,13.7159713544118,11.8344210386276,0.853068384594119,8.2003485262394,0.312296657793552
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.8539765593892,8.00138875449695,13.8279338164477,11.9014107584953,1.5421172584256,8.02882564067841,0.913706399082389
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.5109058061256,7.64457478684337,14.2186499464308,12.5064128637314,1.27840492960807,8.73591291904449,0.708027861159882
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,12.7974659933554,7.14369167204863,13.6947311381189,11.5609864592552,1.28254317798576,7.34190693497658,0.435121369073413
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,13.6779812575298,8.98386145912887,14.4046875585205,12.3169758319855,2.6356632995074,8.07942613959312,0.461214735662998
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.7068868094938,8.18237911556128,14.1529791598658,11.8435105085373,1.00117891474639,7.27677454054356,0.458609438224874
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,14.131281079909,7.37877658515644,14.4360395394097,11.9158836603165,4.5825348583063,7.00543681532145,1.10907172977676
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,11.8813398179456,7.33436807658403,13.8143277008851,12.5632719993591,1.78862585186019,10.6554548740387,1.1797048096348
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.262596820618,6.29560174000971,13.4676824896868,11.7935522198677,2.04764426982535,6.54590372741222,0.451265591595313
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.1636391411813,8.82897497924539,14.4249876643782,12.8120160698891,1.91490433444888,8.92788574099541,0.982359500162476
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,12.8222406097817,7.50035765639532,14.3509575724807,12.0925319194794,1.87009572032939,9.52311098575592,0.568702658368312
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,12.1119588244162,7.78340560032839,13.746370620224,10.9257630705833,1.36908784870328,8.80526924133301,0.418643451830316
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.6038303202352,6.3035146274331,14.2435209613169,11.014593064785,1.92358831912465,7.5324179828167,0.852717466129521
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.8320530514071,7.58262331822497,14.3398559550546,12.5525562167168,1.32972724775488,9.43738254904747,0.477095093356492
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,9.30245679043222,5.28068492512098,10.5905448293853,6.84890491515398,0.251700680272109,5.88135822489858,0.0638297872340425
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,12.816046929664,7.55908269224884,13.5281175383807,12.7562647461891,1.50127268864074,5.10362637788057,0.397330671398994
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.2834987231954,7.55793605130848,14.0966680816834,11.9751795530319,1.43189354073711,8.48886540532112,0.999607777359859
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,11.3082920848957,6.70670570499243,13.0664617776796,11.9693940281868,1.55209847556089,3.79862605128437,0.102891156462585
