"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,13.0493987969467,6.83529674184677,13.4690519829101,11.4859124422073,2.40469703856303,3.31627470999956,0.475824421802368
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.8387628163074,7.6085315516461,13.4926048452497,10.2660257220268,1.08988945983462,6.7385518848896,0.644827252350049
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.8901129989637,7.54392794099827,13.8153876351016,10.2924478650093,2.59183704935555,8.02976188063622,0.883354276591359
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.7391024305059,7.49458721206206,14.2535571634075,10.6955891549587,2.27189761995558,7.88739931583405,0.540617822974122
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,12.077020700106,6.54572744952026,13.4283134641282,10.2456294000149,1.60030693844017,5.63912887871265,0.51128741584854
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,13.0327995705469,8.28878705226327,14.214081007066,11.3821042776108,2.73344803390185,8.41053149104118,0.789018176440537
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.7344278543376,6.77739039512062,14.0037041956276,10.9428222775459,1.485892821048,7.02000829577446,0.399430694263521
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,14.1637493505246,6.33697652772149,14.4157289694597,11.613577902317,5.93151733921858,6.32010042667389,0.861176472383027
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,12.5976145422324,7.80797251394334,14.0482956538219,11.9800646901131,2.07631812505716,9.43072256445885,2.13144367189473
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,11.7161166995574,5.60353136885738,12.8968133731207,10.3423561751842,2.15966361456688,4.38939471170306,0.501847242278076
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.7935271700276,8.69122808057558,14.4097568188824,11.7028088569641,2.69556864458266,7.95907828211784,1.06532582444822
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,12.5058743525293,8.71678632067622,14.0968687340306,11.1854284405708,2.22674303564091,6.44888903200626,0.661633364653055
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,12.0370322583408,6.43274618149902,13.5908275864613,10.5272649228573,1.67704464876917,7.91801184415817,0.791823483285023
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.8337295315295,5.87602110048734,14.0934951143519,9.51603931188583,2.33797010446503,7.99807831645012,1.01940135653959
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.5453442599843,6.82728714679508,14.3108262504448,11.2667303681374,1.76495600051871,8.0054198205471,0.858210305398755
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,7.84385676621349,3.87547620601086,8.9011022669247,4.84240344259888,0.365824975553273,3.50314306095243,0.143707482993197
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,13.0782963361145,6.62612951673712,13.6534684163338,11.2619235515594,1.79898396914257,5.68624891340733,0.380723211270324
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.2181777908206,6.5145145074567,13.7531454061825,10.5362041592598,1.5712481962482,6.64229598641396,0.524649780860961
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,11.8597143047789,7.07424067256163,13.5797404701989,11.1257202029228,2.5734172451673,5.28231231123209,0.905356901548289
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,12.5138825564971,5.82405757480216,12.9890379777027,10.6132557988167,1.865089947012,3.26978780236095,0.0824829931972789
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,12.564053269315,7.18471938499213,13.5220374653122,11.4178689718246,1.54715225020559,4.44166496396065,0.143707482993197
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,10.3892109898712,5.19801725023607,11.1150524695817,9.03308755159378,1.28796784191921,3.09894037107006,0.0612244897959184
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,10.613534209811,4.88561262354057,12.4209030959572,7.94981282949448,1.24691873366966,6.16320386528969,0.541720943696628
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,12.7751525854786,8.71113182698546,13.8242804784723,11.9632508158684,1.74197208559812,6.08422575891018,0.400953859804791
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,13.1195369721662,5.89614365505525,13.4602909485318,10.5796850919724,3.255562552631,5.12594431638718,1.14900666692183
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,14.0877872913672,7.14884320478855,14.5506618281761,11.2689805626869,4.27883740265753,8.83705952763557,1.62522384494819
"absolve",12.9,1.85,29,25,"Verb",51,7,33.9864669011706,13.6328937793289,8.67376098803984,14.1133525270317,10.7699236869812,1.53090581319143,5.39413431286812,0.474919804636352
"absorb",8.83,3.11,101,92,"Verb",52,6,469.161508818875,12.4160904141826,8.48728298617734,13.1566082528612,10.6808905005455,1.87069035321315,4.89249874651432,0.492932258261979
"abstain",12.95,2.38,26,19,"Verb",52,7,59.325102805997,11.2720522921393,6.43933176835597,12.7088251861888,9.13161697983742,0.804648057233497,4.57392917014658,0.251700680272109
"abstinence",12.74,1.72,45,28,"Noun",73,10,43.5859368632559,11.3900074529623,7.80275765454491,12.9594478526116,9.73006361722946,1.01794208601267,4.97041365504265,0.213151927437642
"abstract",11.47,1.45,111,82,"Adjective",53,8,276.535254153133,11.8521499383311,8.7222971842475,14.3588375179062,10.9841374754906,1.80171643868817,8.04816329479218,0.740572194966822
"abstraction",13.65,1.57,15,11,"Noun",55,11,100.329554941038,11.9337323980015,7.0158894114778,13.5489022366403,9.93613120913506,1.76785774602857,6.00363607704639,0.341295609152752
"absurd",10.5,1.64,495,397,"Adjective",53,6,308.811761172097,13.7863949203669,6.61320581436538,14.3145287734511,11.4525789022446,2.64388193417991,8.72028982639313,1.13670522171249
"absurdity",13.21,1.25,32,31,"Noun",72,9,124.178137465906,13.4995582065683,7.73877937883774,14.2837618745488,11.071171939373,2.20469788404571,7.72815373539925,1.11519719607008
"abundance",10.45,2.21,45,41,"Noun",68,9,206.395876507815,12.6085475256518,7.09803962801529,13.9939261815522,11.2023723125458,2.4349763219817,5.7776767089963,0.639051719978772
"abundant",12.84,2.83,29,26,"Adjective",62,8,250.661843491632,12.092994063072,7.77797698411543,14.0175064890562,11.8479180932045,2.92592412580235,6.97098138928413,1.24227237639092
"abuse",8.61,2.71,523,409,"Noun",35,5,525.860872348073,12.6309045877084,8.8138120510234,13.9030037144461,10.7732084393501,2.14885882386253,7.65755301713943,0.781379977357923
"abusive",9.58,2.55,83,81,"Adjective",56,7,25.4656522104064,12.5599224521981,6.40900271405374,13.123290777555,8.95970022678375,1.59479421764674,6.35941012203693,0.396876932591218
"abyss",11,3.07,90,67,"Noun",40,5,92.372177832932,13.6646659189683,7.6060832996195,14.2156513691883,12.1205745339394,3.33579451304279,7.51606598496437,1.17460758317439
"academic",9.74,2.11,238,181,"Adjective",51,8,261.930797130214,11.8987468408984,6.67948925841399,14.2741275489473,10.6664977073669,2.56179902158104,8.82292351126671,1.19972184712696
"accelerate",10.74,3.48,65,53,"Verb",61,10,103.4695356319,12.4541116328436,7.8885425072522,13.90279269048,12.0028130412102,3.16311740008484,6.96456131339073,1.34039747567235
"accent",8.6,3.26,621,447,"Noun",37,6,329.717830828074,12.9537800927459,6.99406467463403,13.5003380478449,11.4439995288849,2.93385148955773,6.26126423478126,1.31809676445465
"accept",6.74,3.03,2692,1861,"Verb",44,6,1809.12683461098,14.1947609970446,8.88492257092363,14.3321001502956,11.6780952215195,4.79162147471557,7.17374147474766,0.983769857002314
"acceptable",9.84,1.93,269,243,"Adjective",66,10,174.609622977341,12.8552708390361,7.52908255729301,13.3719785126846,9.28832748532295,2.10998148346618,5.01424009352922,0.405125396386795
"acceptance",8.56,2.21,161,140,"Noun",71,10,228.444637440018,13.1517500082531,8.68075990096645,13.8788533963292,10.5376845598221,2.20210407121866,6.02217547595501,0.568525143637474
"access",9.1,2.71,1615,923,"Noun",40,6,391.420457462776,10.9450975022323,6.89673065475483,13.5296380707349,11.1358805894852,2.32042124168702,4.55190801620483,0.72753874907965
"accessible",9.94,1.8,56,50,"Adjective",74,10,111.066107916846,11.6980742902626,6.86583869929648,13.7439943403964,11.1600841879845,2.67476859651865,4.01781108975411,0.792764602547211
"accessory",11.15,4.1,147,125,"Noun",63,9,83.5875930413054,9.36014062756596,5.11257208896361,10.7109367304467,8.22649198770523,1.11175624213686,4.45188592467457,0.640244503598541
"accident",5.3,3.26,4146,2180,"Noun",51,8,745.456423399443,12.7597430009166,7.46303466397895,13.8984960022526,11.9819394350052,3.8852726827023,5.42195469141007,0.725183669464758
"accidental",6.75,2.17,153,134,"Adjective",59,10,133.37950516524,12.8862369516033,6.45775569236232,13.7095388500611,10.886790573597,2.25377333364707,7.10759583115578,0.354700390794616
"accommodate",9.9,1.86,109,106,"Verb",76,11,174.320599937226,12.3612758031627,7.1318904471114,13.4877105830752,10.3385434746742,2.35324340572037,4.55381690710783,0.593697623977127
"accommodation",9.58,2.96,48,45,"Noun",76,13,168.188055631489,12.3316162023919,7.64260703877855,13.5422660381779,10.9909724593163,2.84133497349817,5.56815259158611,0.349015187470337
"accompaniment",11.18,2.26,15,13,"Noun",86,13,74.5340500273876,12.8781144932024,5.57347505601828,14.0597202635755,11.408449947834,1.69965839861824,8.82607939839363,0.679877545308379
"accompany",10.75,3.07,242,213,"Verb",72,9,933.242708849837,13.4150527999186,6.51903144305807,13.7798355135648,11.3467724919319,3.49756634508286,6.01323860883713,0.293643451830316
