"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,12.5238304018043,7.15695239296214,13.1546177442565,11.4222308397293,1.18080274551534,4.16905074962415,0.440693298596034
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.7441839007598,6.89196145154256,13.5480793748383,11.4801394939423,1.00441063122352,7.02422200143337,0.267006802721088
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.5799690972456,7.32456621327639,13.6490386953643,10.9427254796028,1.75370416185607,9.83704712986946,0.555373321082981
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.5131934158623,7.65698415008032,14.1336843956944,11.8449755311012,1.24898182243302,9.99399882555008,0.634223161975243
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,12.4881171319307,7.05099695321624,13.5060176127647,10.9393441081047,1.33660755563004,8.00782324373722,0.288265306122449
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,12.789980970229,8.76987000092728,14.1579631575813,11.599088549614,2.28367192658709,8.70140582323074,1.05144397969349
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.7378259238984,7.39321713516407,14.0886061426067,11.5536343455315,0.960743951612743,8.3423884510994,0.439901955231676
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,13.7143186541228,7.83389976999201,14.2577716460816,11.2989571690559,4.24806296604078,8.19258826971054,0.965882867214709
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,11.6408536595522,7.01256711075319,13.8833227249695,12.4674705266953,1.88430288307971,11.0837059020996,1.30348766507416
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.469297899211,5.99429003037545,13.3640094365601,11.5957658886909,1.9866429399631,6.77768330276012,0.316656912533746
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.372819759179,8.81137740523816,14.3884847305176,12.4467977285385,2.22797933973027,10.0154451429844,0.915638871115297
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,12.4059548499458,8.97904813450723,14.337167355217,11.9333853125572,1.82048788142683,8.69488961994648,0.645377210540435
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,11.4784145249819,6.87521494220741,13.7147743315179,11.1874490976334,1.53205236518492,8.08487570285797,0.676577218502684
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.6692441833015,7.07718136260238,14.1789272162609,10.5446621179581,1.76489309975615,7.05070651322603,1.12807809857499
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.2362893160171,7.22844432218838,14.327499500041,12.473154425621,1.38846719702663,9.50951358675957,1.00972843654884
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,7.84035213537359,4.48923682217828,9.67419274464449,6.47993375360966,0.416720943696628,4.1033837441355,0.366064027158252
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,12.975041844543,7.67221754057979,13.6797612120332,12.5448688268661,1.32459462278929,5.28786445595324,0.206632653061224
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.4215531302347,6.99401397954656,13.8433337056577,11.9557617902756,0.996952047996055,8.74150750041008,0.556762045496022
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,10.5571354251481,5.99854762275442,13.3331924306837,11.5062136650085,1.74145706867984,5.2713418151252,0.250904617166015
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,12.9185895029005,6.72732442920016,13.330820107879,11.6112854480743,1.60064545010272,5.20912872254848,0.230664004732328
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,12.1173072647127,7.20190442295772,13.4090798471355,11.2639523148537,1.38608289782052,5.90011470392346,0.53789925173434
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,9.76851060591583,3.94417205604833,10.2956411914283,7.96299071609974,0.455862357838042,1.7916751857847,0.278682394943793
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,9.34525361529887,6.73324276272522,12.3430315880711,8.87141892313957,0.431336935020693,4.90489400643855,0.18452380952381
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,12.8494585984931,9.22542781837638,13.8926848287269,12.1527268886566,0.981544891808552,8.82328540086746,0.420344132102425
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,12.79756235989,7.38876954411828,13.3060105340225,10.9318322241306,1.96354238667903,7.49081525206566,0.598294390219856
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,13.7559991598021,7.33467689018427,14.4653305481271,12.7429003715515,3.25033383960789,9.14335936307907,1.86208737409484
"absolve",12.9,1.85,29,25,"Verb",51,7,33.9864669011706,13.6957638293871,8.42566378133433,14.1423373856691,11.8684150576591,0.688946885433475,7.68069544434547,0.435482703719786
"absorb",8.83,3.11,101,92,"Verb",52,6,469.161508818875,12.1458897582731,7.58061331166766,13.020968080684,10.565220952034,1.23924724638274,7.53288838267326,0.410239677266255
"abstain",12.95,2.38,26,19,"Verb",52,7,59.325102805997,11.7428263982825,7.04945685501165,13.2568499197676,10.7577259540558,0.495650829501761,6.19956454634666,0.227945433492546
"abstinence",12.74,1.72,45,28,"Noun",73,10,43.5859368632559,11.2642680484673,7.92101349108635,13.2200319057879,10.5884726047516,0.777065583982331,7.39346307516098,0.929009151799359
"abstract",11.47,1.45,111,82,"Adjective",53,8,276.535254153133,11.8527313848342,8.35310247528548,14.2298135853691,11.516851067543,1.13498599619255,9.14153560996056,0.570037105751392
"abstraction",13.65,1.57,15,11,"Noun",55,11,100.329554941038,12.2274885958135,7.05632776405789,13.7768934647443,10.5555730760098,0.997405786803831,8.44222772121429,0.586160458633037
"absurd",10.5,1.64,495,397,"Adjective",53,6,308.811761172097,13.7386975701127,7.36049086416904,14.2907016799149,12.16128718853,1.93827911219216,10.5616471767426,1.02202743818036
"absurdity",13.21,1.25,32,31,"Noun",72,9,124.178137465906,13.6324430479664,8.03115472156797,14.4341120125061,12.3405538201332,2.32567341427439,10.4295686483383,1.05773055767639
"abundance",10.45,2.21,45,41,"Noun",68,9,206.395876507815,12.6579689078327,7.79718900565341,14.1888979217406,12.3656839132309,2.46485092221635,8.19214597344398,0.679577257976888
"abundant",12.84,2.83,29,26,"Adjective",62,8,250.661843491632,12.2333866279779,7.63215655728068,14.1641980814533,12.3215931653976,2.22798703353371,7.67013761401176,0.765760944390391
"abuse",8.61,2.71,523,409,"Noun",35,5,525.860872348073,12.5042507660462,9.33227102726437,13.9468320729481,11.7313897013664,1.42917344878547,9.4473343193531,0.457591547257201
"abusive",9.58,2.55,83,81,"Adjective",56,7,25.4656522104064,12.1017606195983,5.74750351925261,13.1624012238981,9.79866740107536,1.06183289717095,7.21956259012222,0.501126445027595
"abyss",11,3.07,90,67,"Noun",40,5,92.372177832932,13.7314796003194,7.69515891453831,14.2991828309615,13.0548089742661,3.08978502326885,10.0958549976349,0.812176678438077
"academic",9.74,2.11,238,181,"Adjective",51,8,261.930797130214,11.3986002609402,8.13252635746957,14.320241952507,12.2270831465721,2.3431260003769,8.03592473268509,0.935760010930359
"accelerate",10.74,3.48,65,53,"Verb",61,10,103.4695356319,11.9093984082595,7.72799443885881,13.8278111422221,12.7924103736877,2.46457522367532,8.49661836028099,0.933857002703985
"accent",8.6,3.26,621,447,"Noun",37,6,329.717830828074,12.7233722479285,6.20913344567713,13.4803186522934,11.6849575638771,2.39823875803049,8.14177164435387,1.14413749171118
"accept",6.74,3.03,2692,1861,"Verb",44,6,1809.12683461098,14.0283616204814,8.14754168165902,14.2258165059819,11.7723280787468,3.39227088325621,8.50716787576675,0.98565982696817
"acceptable",9.84,1.93,269,243,"Adjective",66,10,174.609622977341,12.7230215654464,7.8626683697996,13.439804393377,9.88641530275345,1.05171643868817,7.2669662386179,0.227945433492546
"acceptance",8.56,2.21,161,140,"Noun",71,10,228.444637440018,12.9546673493288,8.94205543564459,13.7995132754782,11.5301027297974,2.14234646157338,8.6797368824482,0.787752689728374
"access",9.1,2.71,1615,923,"Noun",40,6,391.420457462776,11.3787540503619,6.70749479594137,13.5732552502461,11.5531892180443,2.3113599991958,6.19438639655709,0.282676416794958
"accessible",9.94,1.8,56,50,"Adjective",74,10,111.066107916846,12.4188753757004,7.3629512725958,13.7646761859144,11.8616023659706,2.21973992476673,6.15542468428612,0.27148033126294
"accessory",11.15,4.1,147,125,"Noun",63,9,83.5875930413054,8.92155656846484,4.84937530035845,10.0539619744431,9.13230577111244,0.675484180864796,5.11372756492347,0.0620748299319728
"accident",5.3,3.26,4146,2180,"Noun",51,8,745.456423399443,12.8078238976257,6.73138494909148,13.9905103768667,12.5585430264473,2.76575899853196,6.23650375939906,0.461160458633037
"accidental",6.75,2.17,153,134,"Adjective",59,10,133.37950516524,12.3618331783225,6.43080972600234,13.6336013247095,11.7401343584061,0.969896772097116,6.47597104310989,0.122448979591837
"accommodate",9.9,1.86,109,106,"Verb",76,11,174.320599937226,12.2632894795476,6.42482292749688,13.5487590043508,11.2976329922676,2.20866478795401,7.00502233207226,0.0816326530612245
"accommodation",9.58,2.96,48,45,"Noun",76,13,168.188055631489,12.5654233206349,7.46577730922581,13.70680895787,12.4573228359222,2.86721955507187,7.70497074723244,0.255668934240363
"accompaniment",11.18,2.26,15,13,"Noun",86,13,74.5340500273876,13.1142399649205,6.23767558778438,14.4859173439074,11.9303633570671,1.81612362766111,9.72789320349693,0.730130399512601
"accompany",10.75,3.07,242,213,"Verb",72,9,933.242708849837,13.0466176379884,5.27978931459742,13.4932821087302,11.7246702313423,2.66544304703417,5.54306598007679,0.635204081632653
"accomplice",9.78,3.34,216,147,"Noun",71,10,47.9619345239505,13.500683787147,7.32529993041473,14.3844876398531,12.3500196933746,2.44090173479859,9.68066120147705,1.45135812423087
"accomplish",7.84,2.33,298,263,"Verb",70,10,771.15708714932,13.1123182963581,8.22342966185301,14.2516270354609,11.6089572310448,2.89379120759763,7.79171285033226,0.522325951657259
"accomplishment",9,2.5,96,87,"Noun",94,14,238.808749488672,13.0788756541121,6.71733882442413,13.8001825625229,11.0295095443726,1.90407842116302,7.64801147580147,0.614734299516908
"accord",9.65,1.57,83,66,"Noun",47,6,2203.82203029632,12.2643816402647,8.87805929128097,13.0100967757619,10.2129752635956,1.64671284538056,5.56723390519619,0.424444167911067
"accordance",11.7527,1.54,81,66,"Preposition",74,10,178.403320281955,12.5491138072849,8.90929439064869,14.3054810883898,11.0747059583664,1.6081943658385,9.42070856690407,0.715744780189625
"account",8.26,3.08,2280,1386,"Noun",52,7,2537.75152094991,12.6082020149075,7.82212406473091,13.570028499801,10.7170323729515,1.89599805718603,5.06578961387277,0.665679123431737
"accountability",12.16,1.55,24,17,"Noun",99,14,36.3395020371296,11.8538606046388,7.74746433849584,13.7863731350517,10.692013323307,0.781589565156368,8.28752243518829,0.520516717325228
"accountable",11.7,2.21,72,65,"Adjective",68,11,47.7077769449787,12.7842415815168,8.66263827810631,13.8655146541406,10.9342628717422,1.41434044586618,8.18875646591187,0.249203936893906
"accrue",14.11,1.61,4,4,"Verb",52,6,49.8896560530766,12.3947492171093,8.52800474107198,14.5349009646474,12.4494102597237,1.46141773167744,9.6783806681633,1.60060839681616
"accumulate",12.3,3,29,27,"Verb",62,10,251.046556401963,13.3110683142182,8.12136085236221,14.2015065215968,12.0793430805206,3.21813317984617,6.63638563454151,0.316602635503785
"accumulation",10.5,2.97,13,13,"Noun",67,12,122.110825628829,12.1654496029141,8.41109099118682,14.1650799080135,12.2764353752136,1.45228319596368,9.64061290025711,0.745671996828333
"accuracy",9.71,1.85,76,65,"Noun",72,8,201.100393780471,11.4965654668828,8.40251225151892,13.8393725972709,12.6113978624344,2.22026588020762,8.72371545433998,0.755777488300285
"accurate",9.44,1.9,400,344,"Adjective",53,8,277.018455677816,13.4420559162339,7.69939164064962,14.4148630606353,11.8494050502777,3.41205818304514,8.89594173431396,0.753424684849307
"accusation",10.17,2.38,143,128,"Noun",55,10,159.644021875298,13.8268196974898,9.09098274939118,14.5323556597526,13.6159552931786,3.42466529632545,9.66615790128708,1.10019015315037
"accuse",9.1,2.25,290,233,"Verb",40,6,506.711226264413,13.9780073475305,9.2314827790596,14.5293955531884,12.9857847690582,2.93448404314767,9.38685759902,0.856154595664969
"accuser",11.72,3.44,15,12,"Noun",48,7,45.4826602963469,13.938927460799,8.00939773298174,14.5210607223359,12.7307040691376,3.25289023956555,10.4337369203568,1.62269401257311
"accustom",12,1.48,6,5,"Verb",60,8,305.472074327077,12.9653567661631,7.63826511585136,13.4538686405946,11.0099472105503,1.79058643267103,7.21189948916435,0.329511641371046
"ache",5.79,3.43,127,113,"Noun",29,4,275.940459486257,14.1853766525637,8.07967960915175,14.6363553402029,13.0807518959045,3.35401639791325,10.0058007836342,1.54044393147936
"achieve",8.53,2.29,374,317,"Verb",51,7,570.700267250584,12.7478900544028,7.63620940197221,13.5941326546741,11.5260683894157,2.48540157201357,6.72100418806076,0.99801961543735
"achievement",8.8,2.37,178,159,"Noun",87,11,333.363035578721,13.1411760037687,7.41921873885302,14.007385969486,12.7898279428482,2.35545540322924,8.3567975461483,0.570570889472039
"acid",9.6,4.25,508,323,"Noun",33,4,310.612220626873,11.1142210216955,8.0026016652107,14.5960869185469,13.0008434057236,1.9794193967248,12.1996904611588,1.47655336282324
"acknowledge",9.11,2.03,313,250,"Verb",86,11,725.522499157557,13.9518727907062,9.49336381876074,14.3832069454815,11.4509117603302,2.56006452230708,7.25347007811069,0.587969692965068
"acknowledgement",9.95,2.62,21,20,"Noun",109,15,15.8333484288144,11.3148821953622,5.51975078760494,12.4960691320183,8.24704569578171,0.764788321212943,4.57815712690353,0.280921459492888
"acorn",5.95,4.96,37,16,"Noun",37,5,34.3389437857925,13.8039248033519,9.04624798427112,14.6863503392729,13.2851505279541,2.13039820573299,11.6655010581017,2.15400235953781
"acquaintance",10.48,3.41,273,229,"Noun",93,12,622.916547813647,11.8611210734545,7.24987228974229,13.441632909867,12.5431178808212,2.03310895518093,8.52539309859276,0.562183383991895
"acquiesce",14.25,2.21,3,3,"Verb",71,9,75.4749247149791,13.6010557199368,7.62168697721011,14.0285476315975,11.2061917185783,2.31433258090853,8.76534244418144,0.996581214550687
"acquire",9.94,2.93,135,123,"Verb",46,7,810.665461307325,13.2105164534981,6.30881834566508,14.0627205400548,11.4015870094299,2.62109967578214,5.79589222371578,0.272108843537415
"acquisition",13.63,2.6,74,64,"Noun",66,11,198.354492235963,9.16946616134093,7.74342391708957,13.3020691193265,10.7427926659584,0.963807994087497,7.2093396037817,0.600699663389633
"acquit",13.22,2.13,24,19,"Noun",53,6,85.9352282638848,12.7740922854015,7.83265141004458,14.3548826556474,12.8851845860481,3.4982947801487,11.3676209449768,1.67388167388167
"acquittal",12.39,2.38,37,33,"Noun",72,9,29.9208686011585,13.0315152933406,7.42089260711936,14.3841579946427,11.7850708961487,3.56453973292795,11.2855295538902,2.10355942787692
"acre",9.8,4.18,93,55,"Noun",34,4,506.314558351346,9.60466247250656,7.52998479718085,13.9731570348234,13.4024674892426,2.34507905545075,10.0944689512253,0.789755242774934
"act",6.42,2.46,5565,3086,"Verb",21,3,4437.10324065134,12.9899025182774,8.92470638218517,14.0059202563067,12.6772300004959,2.15858927663919,7.70516228675842,0.531880353688864
"action",6.67,2.86,3115,1857,"Noun",36,6,2753.72764089916,11.619231395285,9.20194851193909,13.6472346333929,12.1202592253685,1.10183467326324,6.25094938278198,0.226190476190476
"active",6.53,3.32,584,464,"Adjective",39,6,813.869056590148,11.3846577923942,8.0641799203269,13.6304024468017,11.0772356390953,1.53852632938712,6.99150791764259,0.43633304385584
"activity",6.47,2.72,657,519,"Noun",51,8,1142.97169141153,9.43187902723469,8.49476847374439,13.528557793228,11.1572411954403,1.26627339921508,6.5527369081974,0.337915415935107
"actor",7.17,4.57,1343,574,"Noun",37,5,493.21718831861,11.2505219846065,7.10402744249555,13.7312407641153,12.5912132263184,2.74187088242305,10.1757006645203,0.901507106223654
"actress",6.17,4.54,817,379,"Noun",46,7,192.733117923656,11.2915277447816,7.67332214548164,13.8045320389708,12.5912189483643,1.25946075661141,8.52544099092484,0.502935679359625
"actual",6.94,2.22,884,706,"Adjective",47,6,756.63053067616,13.5106318863155,8.1224248549504,14.4513417350529,11.6190477609634,1.71323398943713,7.96943637728691,0.559738961714646
"actually",7.330045,1.37,16439,5486,"Adverb",50,8,1483.8542817696,12.8771773779707,6.31426063871065,13.2783829523644,10.7288463115692,2.32953680426183,6.83680282346904,0.597039987749648
"acute",11.6,1.92,150,131,"Adjective",39,5,171.729087003918,10.8168534159617,7.52122284057763,13.1236818752124,10.6195942759514,0.753025223071492,8.35619565844536,0.414965986394558
"ad",8.22,4.46,694,432,"Noun",20,2,366.672277615798,8.89159156128824,5.40019007847771,10.6484815767121,7.99128219299018,1.48102882370617,6.13266190141439,0.804607745601534
"adage",16.21,1.86,32,26,"Noun",39,5,18.2857734704483,10.7280987620157,5.24076584439309,11.8433567534743,9.75906085968018,0.864986674318657,6.06680632382631,0.146312780431321
"adamant",14.29,1.65,50,41,"Adjective",57,7,33.165939748667,3.68433137293627,1.11766983304635,3.0700072005108,3.74211548862513,0.556215936274631,2.29016873613,0.164115646258503
