"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,12.3686747083248,3.84206935748148,12.599298558238,11.1366246342659,1.46116328176129,5.39949709177017,0.251922508133688
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,12.4716360300369,4.95690732456287,12.8456063152997,10.8601076602936,0.73715859435947,6.91091787815094,0.143707482993197
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.5212357774149,4.71783274221746,13.0763102174746,10.3778561651707,1.32102778641567,9.17857721447945,0.735730373082047
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.6343605596773,5.29042447334054,13.747004017652,10.2801707684994,1.48107007873752,9.8582521378994,0.889471764797537
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,12.7213908908324,4.09068814352904,12.962489310467,10.6293838024139,1.07446131482146,5.5430236790562,0.233269302170452
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,12.7624698534749,5.81849030887472,13.292528601991,11.4096861481667,1.74462115246172,7.15348613262177,0.594918797558549
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,14.0305328444781,4.44378075957582,14.0378316919798,11.268635392189,1.13474694458757,9.36507847905159,0.602983441438591
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,12.9836605455777,3.88569146936366,13.9519521256872,10.3906321227551,3.40700913496344,4.17221850529313,0.816857573068753
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,12.5505392248759,4.20987554001977,13.4188756456993,12.2546727657318,1.57610676340413,10.0929384827614,1.1294241962524
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,11.7813731175492,3.70693816825118,12.5600090575957,10.7171475291252,1.83259143690881,7.65426486730576,0.595085006179231
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.7401036254693,5.82809113194256,13.9654994747332,12.3142926096916,1.52490763819099,8.2346924841404,1.43767583421674
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,12.6793125247186,5.23535463339464,13.0521501773104,11.6069891452789,1.42698566685946,8.35389256477356,0.468530073145509
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,12.0196903387693,4.33955662080645,12.8913548558531,11.0357738733292,2.34968963543757,9.21851077675819,1.90088130211808
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.4141609000709,5.3452195351277,13.6256657748211,10.2583349347115,1.77778929366339,7.59051671624184,0.543643451830316
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.8190959052885,5.28612666760255,13.1092254887752,11.88694190979,0.90802119575811,11.2383583784103,0.462915415935107
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,7.89915298113356,2.63138601192995,8.27923624321385,6.33750762045383,0.366675315689327,4.19849910959601,0.204081632653061
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,12.7252080580011,4.71226938186406,12.949282286421,11.532343685627,0.990541446864957,7.02457170933485,0.246598639455782
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.0223309760883,3.93158462883035,12.7769628281491,10.6225898563862,1.29760243748153,7.56231199204922,0.768828980587273
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,8.70573911054298,3.29959418087217,11.1859784535998,10.8639863431454,1.71500149237749,5.24920569360256,0.0816326530612245
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,12.2491305991095,3.95810098534568,12.5925060760682,10.6007969379425,1.1910884801646,4.83380797482096,0.102040816326531
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,10.951683293866,4.01456129044948,12.1515620533159,10.7576486468315,1.44796768224535,5.27170942164958,0.435482703719786
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,9.88098969664287,2.18313743069479,10.5410045062979,7.71930120885372,1.01501238802934,4.56096488796175,0.456741207121146
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,8.97249971590839,3.5184330359275,9.93447377656639,8.24223363399506,0.34335255841467,5.00848005712032,0.0204081632653061
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,12.9604385079299,5.72531074717177,13.3630122625798,11.6823145151138,0.737780838658348,7.68383660912514,0.351244753220437
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,13.3467343893872,3.65667910406704,13.4900609225166,9.77214628458023,2.64138018834783,7.04771609604359,2.15696316347481
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,13.5087964292307,4.75989776515721,13.8158321090535,11.7158249020576,2.28679146325114,8.22927090525627,1.00405401189136
