"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,13.1015652975078,5.82021064685406,13.3184829809277,12.1754230856895,1.99950438190763,5.22500536963344,0.225340136054422
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,13.2881972912884,6.54329027260276,13.5070492075408,11.7575159072876,0.990319414380371,8.77898207306862,0.332591547257201
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,12.7831652240753,9.07528159928356,13.3017173365953,11.6888934373856,1.36467866204276,9.07419118285179,0.54624874926844
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,14.0375224710133,7.73724684192688,14.1887278514833,12.5901456475258,1.1845963079932,10.8404973745346,0.478904327688522
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,13.309212986753,6.3478684972963,13.5189572073403,11.3468527197838,1.08965888321052,7.61109784245491,0.340811501905727
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,13.8434019985272,7.01888002157047,14.1760043473828,12.4232398867607,2.98697445002613,9.05683445930481,1.23225731060277
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,13.983417315585,7.28817770328934,13.9987026565958,11.7036687135696,1.46104971449936,9.34368219971657,0.30047928262214
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,14.0576259040001,5.21766605290222,14.2329685288172,11.748822927475,4.12341889440585,7.47224132716656,0.397271674627298
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,11.6647081098664,7.49380921129394,13.0096527158661,12.3666679263115,1.15963577705351,10.067236661911,0.997292513002173
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.266583270336,6.34947137092658,12.8877173468568,11.5658473372459,1.7727596875734,7.11268925666809,0.254818594104308
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.77873705582,7.6603690020611,14.1974033858063,12.8604564070702,2.10568577523033,9.48333203792572,0.981272648523886
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,13.5293196421714,7.337656348393,14.0126948315295,12.4036200046539,1.82658798949511,8.95142135024071,0.800490366864095
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,12.7215750132223,7.77593392522414,13.282852987493,11.2218106985092,1.40315693349445,8.3666904270649,0.738770685579196
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.9661002766835,8.48956006159949,14.0777249170436,11.2865780591965,1.84152530700309,9.67920234799385,0.741102035104297
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,12.8828076383332,8.97074227414295,13.8063991424482,12.1429505348206,1.74613989430697,10.3289487957954,0.333441887393255
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,9.68822871321828,6.02612837121396,9.91479827315414,6.7325524687767,0.272959183673469,5.4552804492414,0.224489795918367
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,13.3016260551603,8.18741439035008,13.4685337541583,12.7888792157173,1.5554870912594,7.09439513087273,0.124149659863946
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.8088062724318,6.1295998927448,13.5976602113898,12.0409736633301,1.61530119294094,7.32576422393322,0.975937695604025
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,11.5782998525129,5.3378284091425,12.8781760819829,11.4021871089935,1.850857492566,6.07652695477009,0.0612244897959184
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,13.2635366326859,5.00613038935751,13.3987608743761,12.1801489591599,2.28504928027105,6.62464305758476,0.0842379504993487
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,13.2275635445568,6.10192188954593,13.6639025224583,12.1179167032242,1.28996379632081,6.29312025010586,0.164965986394558
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,11.2182148261012,4.95623846003732,11.4871093381814,10.0619251132011,0.877653559996559,4.32051964476705,0
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,11.8465418629722,6.59533432740531,12.5218650523243,9.10711523890495,0.315639021566073,5.858746541664,0.341961174713788
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,13.4109773977109,7.32502668335858,13.6209480849476,12.7988322973251,1.2976471509814,8.58591148257256,0.439847678201715
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,13.01345123718,4.95681452046302,13.1734517473531,11.837876200676,2.94129008967368,7.90637575089931,0.920995968681989
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,14.064545040054,8.82997323530018,14.2797567880833,12.928225338459,2.57996556063401,10.8617392778397,0.859244000350119
